sensor_name,eventID,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
G068,ANH_95,7.370163489,-73.72160128,PE,4102.073097,961.6353797,2365.392853,10640.978,3425.369918,13567.36557,20499.88016,159.5573399,159.5573399,8367.288953,12483.41485,2223.471518,LVCb2,Palma,60.97542392,Caracterizacion,13567.36557,5288.637355,8302.531067,45.6,50.2,51.8,48.9
G069,ANH_312,7.344193269,-73.75756446,PE,2637.890414,772.5766635,2647.587039,9901.857404,1725.928656,9761.027142,15613.46059,0,0,8592.13481,10555.7286,1125.689837,PVCb2,Bosque Ripario,17.90872288,Caracterizacion,9761.027142,2085.997441,7697.716083,40.4,43.4,58.6,46
G070,ANH_223,7.263611111,-73.90430556,PE,3614.4736,9086.78834,1361.054586,1361.054586,7758.756598,11671.78674,423.4446959,127.5091805,127.5091805,1316.174391,1586.469198,7890.300529,RVBa,Palma,140.0448497,Platero,423.4446959,7069.195687,3532.000776,47.1,53.5,51.9,53
G071,ANH_353,7.343194445,-73.87822222,PE,1144.682819,2786.314896,4073.619593,4077.847243,1311.366979,2601.183711,7905.843217,460.763969,348.4113317,439.5068006,2938.614776,1233.48853,PVFa,Palma,609.7833704,Kale,2601.183711,1319.418494,2102.753893,51.9,50.1,51.9,55.5
G072,ANH_183,7.269583334,-73.84883333,PE,4317.606225,3554.22365,705.6389297,5173.069575,6534.214188,10032.55397,3321.654815,0,0,4759.041443,4733.1463,4978.734302,PVAa,Bosque Ripario,86.22164614,Platero,3321.654815,4321.748794,1325.851508,51.5,43.1,39.8,42.9
G074,ANH_361,7.429,-73.81827778,PE,4308.601771,1265.325856,5188.588626,5188.588626,8146.758305,6000.372872,18638.55407,0,0,2428.450548,7889.14149,2627.742614,PVAb2,Bosque Ripario,218.1093668,Kale,6000.372872,5517.509317,3349.068359,44,51.2,46.4,40.4
G075,ANH_12,7.396611111,-73.83972222,PE,5753.713587,303.2101243,1574.407612,1574.407612,7546.824697,1755.494698,14474.69605,3.1214799,3.1214799,5942.104152,6013.139324,4430.491116,PVAa,Palma,148.5096761,Kale,1755.494698,5753.043375,2074.243429,51,65.1,47.3,46.5
G076,ANH_69,7.283222222,-73.79655556,PE,2838.752315,852.7940365,5049.99776,5208.012033,994.061028,10031.18297,9182.443357,427.4189455,427.4189455,10352.83821,4412.392358,3719.183801,PVAa,Palma,905.94582,Platero,9182.443357,1439.567912,4459.308793,50.2,37.4,50.4,46
G077,ANH_231,7.307944445,-73.83508333,PE,1995.348215,679.3194032,5211.251209,8604.462565,2179.920469,5879.454007,6282.749864,0,0,6108.866083,8189.197433,1232.087347,PVAa,Bosque Ripario,135.5943303,Platero,5879.454007,681.8733382,2192.639297,35.1,36,47.2,40
G078,ANH_214,7.350388889,-73.73913889,PE,2687.452937,850.3409617,555.7359333,9294.835663,2334.847323,11683.26418,17717.02988,45.2489248,45.2489248,8875.156904,10576.03073,1899.531638,PVCb2,Palma,32.28629229,Caracterizacion,11683.26418,2804.425255,8460.920915,59.1,49.5,52.4,48.2
G079,ANH_31,7.423166667,-73.77597222,PE,164.1075625,3351.581794,8838.195854,9026.980753,3924.286281,8858.449152,20241.64141,216.736983,0,189.0871338,12525.58798,34.5565511,PVFa,Herbazales,62.14109393,Kale,8858.449152,9623.738443,443.8697226,50.5,48.4,49.6,57.2
G080,ANH_242,7.391888889,-73.77269444,PE,3000.972027,3793.856551,5842.840784,8990.919939,1947.380189,8008.749855,17725.01495,0,0,3064.873771,13271.83587,1101.399989,LVBd2,Bosque Ripario,353.1898215,Kale,8008.749855,7512.79552,2700.717978,57.8,56.1,48,43.5
G081,ANH_324,7.365361111,-73.87716667,PE,2030.516095,341.5868956,2410.480379,2410.480379,3436.723121,1660.813104,10358.74325,595.1940373,0,950.8188624,2743.331336,1244.081607,PVAa,Herbazales,7.729867631,Kale,1660.813104,2453.891947,4336.489684,65.3,53.7,39.8,42.5
