"group","indval","pvalue","freq","tf_bin"
"Herbazales",0.295800743856355,0.017,15,"V1208"
"Herbazales",0.291132760397166,0.015,16,"V1336"
"Herbazales",0.289800939164523,0.046,29,"V2105"
"Herbazales",0.285890687889452,0.016,15,"V1592"
"Herbazales",0.284438151853708,0.029,19,"V1721"
"Herbazales",0.282484988651736,0.019,18,"V689"
"Herbazales",0.280272243223411,0.019,18,"V1849"
"Herbazales",0.279294127339651,0.019,17,"V1722"
"Herbazales",0.277228025834297,0.021,16,"V1593"
"Herbazales",0.276958770728388,0.028,19,"V1080"
"Herbazales",0.275968507151651,0.015,12,"V1338"
"Herbazales",0.275231946089412,0.026,20,"V1079"
"Herbazales",0.272970723780398,0.023,16,"V1591"
"Herbazales",0.272967051018743,0.037,21,"V560"
"Herbazales",0.272797923722273,0.027,18,"V1337"
"Herbazales",0.270224742689327,0.031,19,"V2077"
"Herbazales",0.268674817921546,0.032,19,"V951"
"Herbazales",0.268388793791471,0.023,16,"V1207"
"Herbazales",0.266706537680896,0.032,20,"V1463"
"Herbazales",0.265812579528957,0.018,13,"V1594"
"Herbazales",0.264914263237003,0.045,23,"V949"
"Herbazales",0.264757460867021,0.008,5,"V1560"
"Herbazales",0.264694955084952,0.038,20,"V692"
"Herbazales",0.262862490934798,0.035,17,"V1462"
"Herbazales",0.261815883925978,0.023,17,"V1464"
"Herbazales",0.260166693295362,0.035,18,"V795"
"Herbazales",0.259705892653492,0.027,18,"V1078"
"Herbazales",0.257229530972655,0.028,15,"V1720"
"Herbazales",0.256274036343215,0.024,16,"V1081"
"Herbazales",0.253890209171636,0.031,16,"V1335"
"Herbazales",0.253531695396806,0.028,13,"V1595"
"Herbazales",0.253363779056912,0.032,16,"V1210"
"Herbazales",0.252615260594317,0.008,7,"V1562"
"Herbazales",0.251572705251971,0.033,16,"V1209"
"Herbazales",0.25133702888368,0.036,18,"V688"
"Herbazales",0.25026134160325,0.026,13,"V1168"
"Herbazales",0.245796362858607,0.008,9,"V1178"
"Herbazales",0.244973060213978,0.042,18,"V1719"
"Herbazales",0.236065066550545,0.015,5,"V1431"
"Herbazales",0.23474025327675,0.01,9,"V1565"
"Herbazales",0.227179615916616,0.048,17,"V2308"
"Herbazales",0.226279311937187,0.045,14,"V1578"
"Herbazales",0.19945775104212,0.045,10,"V1303"
"Herbazales",0.199038139342655,0.037,11,"V1182"
"Herbazales",0.197699409169948,0.043,8,"V1420"
"Herbazales",0.197161338968195,0.014,7,"V1328"
"Herbazales",0.194620132920015,0.026,9,"V1561"
"Herbazales",0.189859451855474,0.042,10,"V1180"
"Herbazales",0.185805017645643,0.042,8,"V1307"
"Herbazales",0.177011494252874,0.02,3,"V655"
"Herbazales",0.169233453262553,0.033,7,"V1688"
"Herbazales",0.160055010945908,0.033,6,"V1306"
"Palma",0.58640804426634,0.001,61,"V479"
"Palma",0.583664073127041,0.001,55,"V452"
"Palma",0.577612205231986,0.001,57,"V82"
"Palma",0.576493979453584,0.001,55,"V338"
"Palma",0.572783103437688,0.001,64,"V220"
"Palma",0.57246845875515,0.001,51,"V596"
"Palma",0.570286891270066,0.001,56,"V478"
"Palma",0.56982142611828,0.001,56,"V319"
"Palma",0.569532027892221,0.002,55,"V72"
"Palma",0.563560233512744,0.001,54,"V198"
"Palma",0.560565779406726,0.001,64,"V2782"
"Palma",0.559828224911385,0.002,61,"V70"
"Palma",0.559449513180204,0.001,63,"V2892"
"Palma",0.555784871389772,0.001,65,"V3039"
"Palma",0.553906321744048,0.001,63,"V450"
"Palma",0.553293107097344,0.001,58,"V2889"
"Palma",0.550903306476075,0.001,66,"V2629"
"Palma",0.550622689423104,0.002,56,"V201"
"Palma",0.550261653319414,0.001,59,"V2901"
"Palma",0.54838590063118,0.002,56,"V350"
"Palma",0.54828194304403,0.002,63,"V2886"
"Palma",0.545689482790368,0.001,66,"V2879"
"Palma",0.543679023871437,0.001,54,"V607"
"Palma",0.542140832985654,0.003,50,"V579"
"Palma",0.540321572333511,0.001,53,"V577"
"Palma",0.540279343300116,0.001,62,"V2895"
"Palma",0.539482467548058,0.001,65,"V2760"
"Palma",0.53831599136007,0.001,52,"V346"
"Palma",0.538305434039362,0.002,63,"V192"
"Palma",0.538088922918105,0.001,62,"V2757"
"Palma",0.538052776631302,0.001,58,"V465"
"Palma",0.537890353068644,0.001,53,"V588"
"Palma",0.537441714172786,0.002,57,"V93"
"Palma",0.535306037916257,0.001,59,"V2887"
"Palma",0.534574976442806,0.002,58,"V94"
"Palma",0.533021131892267,0.001,54,"V603"
"Palma",0.531478338079395,0.001,56,"V459"
"Palma",0.530605013567231,0.002,61,"V3020"
"Palma",0.528256137552472,0.002,62,"V2632"
"Palma",0.52807571410171,0.002,55,"V216"
"Palma",0.526341527376479,0.001,60,"V457"
"Palma",0.525518255421372,0.001,56,"V3027"
"Palma",0.525297210802825,0.001,62,"V2636"
"Palma",0.524764533419699,0.001,56,"V3014"
"Palma",0.524720910882701,0.003,61,"V68"
"Palma",0.524526619584767,0.002,53,"V583"
"Palma",0.523314667680379,0.002,63,"V218"
"Palma",0.522887024907909,0.002,67,"V2907"
"Palma",0.522775485068567,0.004,55,"V323"
"Palma",0.52219310867488,0.001,56,"V329"
"Palma",0.521612391308075,0.002,60,"V223"
"Palma",0.521504969959085,0.001,62,"V2893"
"Palma",0.52090867412001,0.001,68,"V2504"
"Palma",0.520839093551384,0.001,52,"V593"
"Palma",0.520822238377272,0.001,64,"V77"
"Palma",0.520696681398376,0.003,59,"V477"
"Palma",0.52020206116582,0.002,51,"V605"
"Palma",0.5200092435272,0.001,61,"V2633"
"Palma",0.51962583864464,0.004,51,"V324"
"Palma",0.519392911255654,0.002,55,"V74"
"Palma",0.519147403496631,0.003,57,"V347"
"Palma",0.51864737474981,0.001,56,"V333"
"Palma",0.51857137047793,0.002,59,"V2762"
"Palma",0.517952699379733,0.003,58,"V95"
"Palma",0.516800492821806,0.002,56,"V204"
"Palma",0.516643272525757,0.003,51,"V352"
"Palma",0.516112520803663,0.003,66,"V64"
"Palma",0.515479712396602,0.001,58,"V448"
"Palma",0.515338498455701,0.002,59,"V2500"
"Palma",0.515254331404837,0.001,58,"V349"
"Palma",0.515032257506228,0.002,51,"V585"
"Palma",0.51416685123506,0.001,61,"V3038"
"Palma",0.511437072900957,0.002,68,"V2625"
"Palma",0.511371730795839,0.003,58,"V3018"
"Palma",0.511001036526378,0.002,61,"V221"
"Palma",0.509727865667384,0.001,66,"V2656"
"Palma",0.509117558449732,0.003,62,"V79"
"Palma",0.508900703603568,0.004,55,"V196"
"Palma",0.50849967404675,0.001,64,"V2765"
"Palma",0.507707127294431,0.001,54,"V581"
"Palma",0.507026011678429,0.005,71,"V2527"
"Palma",0.506330054731861,0.001,57,"V462"
"Palma",0.505730869444223,0.001,65,"V2881"
"Palma",0.505623814822355,0.001,65,"V2910"
"Palma",0.505200430143918,0.004,53,"V331"
"Palma",0.505142407368245,0.003,66,"V2653"
"Palma",0.504458658146279,0.001,52,"V456"
"Palma",0.504323095455467,0.004,65,"V2655"
"Palma",0.504130848412557,0.001,61,"V2631"
"Palma",0.504018071791847,0.001,60,"V2808"
"Palma",0.503739786674003,0.001,66,"V2505"
"Palma",0.503619006871309,0.003,66,"V2898"
"Palma",0.502909453584222,0.002,60,"V3031"
"Palma",0.502442579027411,0.003,49,"V326"
"Palma",0.502164927166149,0.002,57,"V76"
"Palma",0.501014294579567,0.004,66,"V2635"
"Palma",0.500934721638744,0.002,57,"V208"
"Palma",0.500624601912809,0.002,62,"V3036"
"Palma",0.500529412934901,0.004,61,"V194"
"Palma",0.500047238829812,0.004,57,"V351"
"Palma",0.497977791861867,0.002,56,"V455"
"Palma",0.497631763095913,0.002,55,"V67"
"Palma",0.497197754128987,0.001,51,"V586"
"Palma",0.497079919465926,0.002,57,"V2899"
"Palma",0.495142239593518,0.003,63,"V2775"
"Palma",0.494785623179611,0.001,66,"V2753"
"Palma",0.494773884461876,0.006,60,"V224"
"Palma",0.494649736973875,0.002,55,"V475"
"Palma",0.494114871546961,0.001,60,"V2783"
"Palma",0.493606038771181,0.005,59,"V348"
"Palma",0.493067999593651,0.003,60,"V2884"
"Palma",0.491933175492115,0.002,57,"V2754"
"Palma",0.491677520195395,0.002,52,"V463"
"Palma",0.491307822174877,0.004,60,"V222"
"Palma",0.48991834471158,0.003,66,"V2654"
"Palma",0.489666507780218,0.005,60,"V3040"
"Palma",0.489395420155252,0.002,60,"V3013"
"Palma",0.488193710010287,0.001,63,"V2761"
"Palma",0.488176067253152,0.006,61,"V2888"
"Palma",0.487090600310479,0.005,59,"V2399"
"Palma",0.487076139655049,0.003,60,"V3015"
"Palma",0.486979487893846,0.003,60,"V2758"
"Palma",0.486670770938352,0.004,55,"V575"
"Palma",0.486601250902406,0.002,57,"V200"
"Palma",0.486449118428129,0.005,66,"V2499"
"Palma",0.485221724611822,0.002,57,"V78"
"Palma",0.484889426910699,0.006,65,"V2637"
"Palma",0.484738995406903,0.007,60,"V2678"
"Palma",0.484637794646721,0.008,63,"V3011"
"Palma",0.484362459010306,0.006,80,"V810"
"Palma",0.483826351097087,0.006,56,"V458"
"Palma",0.482970441299346,0.003,55,"V342"
"Palma",0.482094051932948,0.004,52,"V327"
"Palma",0.481581571455833,0.007,54,"V589"
"Palma",0.481443451437565,0.003,55,"V594"
"Palma",0.481419902435092,0.004,61,"V2400"
"Palma",0.481113856949153,0.005,50,"V460"
"Palma",0.480718338695921,0.005,54,"V343"
"Palma",0.480651667519744,0.004,69,"V2646"
"Palma",0.479590456583555,0.004,48,"V330"
"Palma",0.479041670554221,0.007,59,"V3024"
"Palma",0.47901695238328,0.005,61,"V606"
"Palma",0.478612162110397,0.004,55,"V502"
"Palma",0.477912553287378,0.008,60,"V2885"
"Palma",0.477873258515581,0.007,64,"V2508"
"Palma",0.477773033759229,0.007,65,"V2657"
"Palma",0.477025113465536,0.005,59,"V217"
"Palma",0.47700285748646,0.006,69,"V2624"
"Palma",0.476960433133336,0.006,55,"V453"
"Palma",0.47681451682619,0.005,67,"V2909"
"Palma",0.476686212862747,0.006,66,"V2647"
"Palma",0.476633309418237,0.006,55,"V609"
"Palma",0.476512028981808,0.006,62,"V2759"
"Palma",0.476494034382707,0.005,64,"V2529"
"Palma",0.476480122247725,0.009,64,"V2774"
"Palma",0.47636491524584,0.009,63,"V3008"
"Palma",0.476304818426478,0.002,32,"V2022"
"Palma",0.476190871284859,0.005,61,"V215"
"Palma",0.475826331764174,0.005,60,"V2912"
"Palma",0.475653200037364,0.005,64,"V2638"
"Palma",0.47565123396302,0.008,58,"V71"
"Palma",0.475627968148695,0.005,58,"V322"
"Palma",0.475547464766921,0.004,56,"V476"
"Palma",0.475467644127065,0.004,65,"V2911"
"Palma",0.47514702386614,0.006,56,"V451"
"Palma",0.474795085672731,0.004,58,"V2545"
"Palma",0.474456661302021,0.005,58,"V318"
"Palma",0.474345631714639,0.009,56,"V206"
"Palma",0.473947335447689,0.004,56,"V3016"
"Palma",0.473568674510657,0.004,56,"V197"
"Palma",0.47347494794115,0.006,64,"V2764"
"Palma",0.472968733999609,0.008,70,"V2880"
"Palma",0.472081895004467,0.011,54,"V574"
"Palma",0.471965076372034,0.006,52,"V591"
"Palma",0.471832430185335,0.007,55,"V212"
"Palma",0.471738377019552,0.006,56,"V466"
"Palma",0.471259969921754,0.009,61,"V2882"
"Palma",0.471257404795918,0.005,61,"V63"
"Palma",0.470370645481135,0.008,69,"V2520"
"Palma",0.469998927671924,0.006,58,"V3041"
"Palma",0.469479865564255,0.006,60,"V2553"
"Palma",0.46931643347985,0.003,41,"V2162"
"Palma",0.469306908905243,0.008,65,"V2900"
"Palma",0.469271887298335,0.003,49,"V473"
"Palma",0.46874600498243,0.004,85,"V170"
"Palma",0.468579083946556,0.008,55,"V89"
"Palma",0.468547373870167,0.011,61,"V2756"
"Palma",0.468329146771529,0.003,53,"V580"
"Palma",0.468183396686897,0.008,60,"V207"
"Palma",0.467897022460438,0.004,85,"V405"
"Palma",0.467780647148338,0.003,56,"V3017"
"Palma",0.467778729044825,0.006,64,"V3033"
"Palma",0.467631557708834,0.008,56,"V353"
"Palma",0.467569460510796,0.01,50,"V332"
"Palma",0.467551383498118,0.01,59,"V3032"
"Palma",0.467461419877038,0.004,68,"V2502"
"Palma",0.467034165602132,0.005,56,"V471"
"Palma",0.46690335995254,0.006,65,"V2503"
"Palma",0.466368898085538,0.008,52,"V340"
"Palma",0.466294726711233,0.008,53,"V584"
"Palma",0.46629103956663,0.009,64,"V2780"
"Palma",0.466213990691888,0.007,55,"V481"
"Palma",0.465953441888415,0.001,83,"V149"
"Palma",0.465746717189471,0.004,79,"V425"
"Palma",0.465442694124131,0.008,62,"V3019"
"Palma",0.46448416687916,0.016,56,"V195"
"Palma",0.464141820225195,0.006,59,"V474"
"Palma",0.463936820040461,0.003,63,"V2634"
"Palma",0.463616925757424,0.003,39,"V2154"
"Palma",0.463274695080256,0.007,56,"V2550"
"Palma",0.462942151884169,0.012,59,"V3021"
"Palma",0.46287385770857,0.006,59,"V2891"
"Palma",0.462799147933822,0.006,61,"V2913"
"Palma",0.462329533516499,0.006,64,"V2643"
"Palma",0.462152333226335,0.004,59,"V2677"
"Palma",0.462075709491964,0.013,57,"V337"
"Palma",0.461415355084812,0.004,58,"V2929"
"Palma",0.461312874783938,0.007,59,"V190"
"Palma",0.461046362391188,0.008,64,"V2627"
"Palma",0.460793663955657,0.015,63,"V2896"
"Palma",0.460773213321816,0.01,69,"V2752"
"Palma",0.460712540745562,0.01,51,"V75"
"Palma",0.460432596147892,0.007,54,"V468"
"Palma",0.460068830330635,0.007,66,"V2784"
"Palma",0.459163392417905,0.012,70,"V2779"
"Palma",0.459074798368985,0.013,56,"V2936"
"Palma",0.458975803659665,0.007,51,"V600"
"Palma",0.458738141760913,0.007,66,"V2528"
"Palma",0.458131119853938,0.014,62,"V3037"
