Fecha instalacion,Hora,Código grabadora (Gxxx),Punto de muestreo (ANH),Latitud/Longitud (grados decimales),Elevación,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4,foto del hábitat,Localidad,latitud,longitud,Fecha recogida,Estado del Audiomoth,Descripción de la Estación de Muestreo: cambios significativos en el sitio,parentEven,Cobertura,eventDate
2021-11-07,11:37:00,G045,ANH 160,"7.2631502,-73.8214064",107.2,48.0,37.6,39.6,40.5,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 11.37.47.jpg,"plataforma Platero, vereda CENTRO, predio EL TESORO, ANH 160",7.2631502,-73.8214064,2021-12-01,Buena,Buena,ANH_160,Bosque Ripario,2021-11-07/2021-12-01
2021-11-05,10:54:00,G046,ANH 289,"7.3100954,-73.7170262",119.4,52.7,32.2,42.0,39.2,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 10.56.37.jpg,"plataforma Caracterización, vereda COMUNEROS, predio SANTA ROSA, ANH 289",7.3100954,-73.7170262,2021-11-25,"Buena, sin membrana del micrófono",Sin cambios significativos,ANH_289,Bosque Ripario,2021-11-05/2021-11-25
2021-11-09,12:53:00,G047,ANH 135,"7.23909,-73.8794142",72.0,40.4,45.8,48.9,52.1,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 12.50.56.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 12.53.23.jpg","plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 135",7.23909,-73.8794142,2021-12-01,"Buena, sin membrana",Sin cambios significativos,ANH_135,Bosque Ripario,2021-11-09/2021-12-01
2021-11-11,14:35:00,G048,ANH 81,"7.4026784,-73.8535419",54.0,54.1,43.6,62.9,43.4,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 14.36.14.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-11 14.36.39.jpg","plataforma Kale, vereda CENTRO, predio LA GRANJA, ANH 81",7.4026784,-73.8535419,2021-11-29,"Buena, sin membrana",Sin cambios significativos,ANH_81,Palma,2021-11-11/2021-11-29
2021-11-07,08:16:00,G049,ANH 254,"7.2556961,-73.8404997",88.36,46.2,38.9,38.6,47.5,file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 08.18.10.jpg,"plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 254",7.2556961,-73.8404997,2021-12-01,Buena,"Buena, sin membrana",ANH_254,Palma,2021-11-07/2021-12-01
2021-11-05,12:42:00,G050,ANH 89,"7.273865,-73.7568817",103.0,41.5,55.9,57.4,35.7,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.42.46.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-05 12.43.40.jpg","plataforma Caracterización, vereda PUENTE SOGAMOSO, predio EL NARANJO, ANH 89",7.273865,-73.7568817,2021-11-25,Apagamos el equipo. membrana perforada.,,ANH_89,Palma,2021-11-05/2021-11-25
2021-11-07,11:13:00,G051,ANH 209,"7.3730233,-73.8280602",86.0,47.2,58.3,48.4,67.4,,"plataforma Kale, vereda CENTRO, predio LAS PAMPAS, ANH 209",7.3730233,-73.8280602,2021-11-27,sin membrana del micrófono. Apagamos equipo,sin cambios en la vegetación,ANH_209,Palma,2021-11-07/2021-11-27
2021-11-07,10:06:00,G052,ANH 241,"7.3818697,-73.8143995",80.0,48.3,57.2,48.4,55.5,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 10.09.17.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-07 10.10.58.jpg","plataforma Kale, vereda CENTRO, predio ZONA NORTE, ANH 241",7.3818697,-73.8143995,2021-11-27,membrana perforada. Apagamos equipo,crecimiento de la vegetación alrededor,ANH_241,Bosque Ripario,2021-11-07/2021-11-27
2021-11-09,11:32:00,G053,ANH 145,"7.2379957,-73.9116395",80.0,59.4,40.5,45.2,48.7,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.33.04.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-09 11.34.23.jpg","plataforma Platero, vereda EL PEDRAL, predio PALMAS BUCARELIA, ANH 145",7.2379957,-73.9116395,2021-12-01,"Buena, sin membrana",Sin cambios significativos,ANH_145,Palma,2021-11-09/2021-12-01
2021-11-08,10:23:00,G054,ANH 243,"7.379235,-73.784685",69.0,50.9,35.4,44.2,37.1,"file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 10.24.21.jpg, file:///data/user/0/com.luckydroid.droidbase/files/files/1405084042/2021-11-08 10.25.44.jpg","plataforma Kale, vereda SAN CLAVER, predio VILLA HEREDIA, ANH 243",7.379235,-73.784685,2021-11-27,"Buena, sin membrana",Rastro de crecida del río,ANH_243,Bosque Ripario,2021-11-08/2021-11-27
