sensor_name,ID_MUEST_PT,TASA_MUEST,RES_BITS,MICROFONO,REF_GRAB,FECHA_INI,FECHA_FIN,HORA_INI,HORA_FIN,NUM_GRAB,TASA_GRAB,ESTACIONAL,ALTURA,GEOFONIA,ANTROPOFONIA,BIOFONIA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,BIO_Q25,BIO_Q50,BIO_Q75,AEI_Q25,AEI_Q50,AEI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,ASU
G051,ANH_370,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-24,2022-04-12,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,16.667,83.333,302.75164396511724,306.30716586249616,312.414845919105,3.0399325630409226,3.0544798965225555,3.073129732196347,0.44766503335046387,0.635005366670576,0.9142580407857739,19.3432143403314,33.66285929738848,48.24328411910412,0.6827535902637308,0.7406601978183274,0.7927569368045342,4.0,8.0,17.0,0.0011432796918389,0.006083943650645849,0.020239459407015374,0.7264316463467381,0.7784276700754968,0.8549741088976877,0.9247204024785398,0.9640361133782537,0.9826023471798676,0.2659505208333333
G053,ANH_145,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-30,2022-04-18,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,16.667,66.667,301.12880954454755,305.34843444827794,314.35463765267895,3.0143515097109637,3.0300482214559716,3.039139634331604,0.6748148728917047,0.8827450120966562,0.9485016182774276,31.182323435825687,42.44804378215365,56.12011108425476,0.6182427230152636,0.686156658396244,0.7595306334166935,9.0,17.0,29.0,0.0063702006071269255,0.02022460026728965,0.0469009078934372,0.6375085803958789,0.7152516240144982,0.8014920530850981,0.9465919215106938,0.9773046479374495,0.9870800490564087,0.4264322916666667
G054,ANH_388,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-28,2022-04-16,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,0.0,100.0,302.4061988810156,307.18394483193134,313.9046114378589,3.0105381964480356,3.0359690817905696,3.047680419220037,0.43204875591739994,0.9258492460598817,0.9732457242438134,19.843923117093993,39.30302785803534,54.71460858233569,0.5531223368342768,0.6534053626244313,0.7621472173951656,4.0,9.0,26.0,0.004905701277099325,0.035486247866183804,0.06302657076403072,0.5673706373192536,0.6774218287231387,0.78586047587792,0.9553977891502,0.9865044089788799,0.9919549000101322,0.4622395833333333
G055,ANH_239,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-23,2022-04-11,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,16.667,83.333,304.6981247007312,307.8256989589735,313.715290401716,3.022027136009487,3.038414441050695,3.0556890928478664,0.6929596217228673,0.856875638144615,0.949053679695412,25.620732380536875,48.71448070384388,82.62183510547351,0.6381773732327782,0.6820011891174527,0.7639180101453839,11.0,23.0,36.0,0.0107020768707001,0.0518077017543399,0.10816317433179755,0.6567947036356965,0.7229196357450647,0.8127569872065462,0.9299154932123493,0.9746754324415607,0.9876189149982968,0.4658203125
G056,ANH_389,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-27,2022-04-15,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,16.667,66.667,305.1059204083316,308.5068113472257,315.20752256287517,3.00634760992118,3.0208202343634785,3.038156478442342,0.44585015464886385,0.6046911573388514,0.7246785915632974,14.826962377996852,30.656123012039746,66.73555128320243,0.6489487197293833,0.6943463952367039,0.7995723938542754,6.0,13.0,28.0,0.0007453606706541249,0.01973861899155385,0.0471071877155121,0.6784541853207332,0.7480336851027043,0.8748144720287875,0.9120870198336442,0.9652464888638282,0.9840205805790639,0.2587890625
G057,ANH_012,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-25,2022-04-13,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,33.333,66.667,306.2108177981829,311.72246770445724,320.2379454783194,3.016775059725603,3.0319714279403334,3.0433969765350737,0.5019929332384198,0.682239021952083,0.8221284210582173,16.6923214519907,28.147588533370417,62.08495702417094,0.6019887845210181,0.6512587931727857,0.7237982643476172,4.0,13.0,22.0,0.001026591741639725,0.01573189566786145,0.06741242066749002,0.6301219873936755,0.6877410789754927,0.8148612055799391,0.9137939804456858,0.9623983284671118,0.979939424221783,0.4436848958333333
G058,ANH_181,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-20,2022-04-08,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,0.0,100.0,304.6896940197546,308.40939914161896,314.1192396642254,3.0448406940263046,3.0579739610389534,3.072702601937553,0.39122466625631436,0.5470896172855282,0.7496416650348505,17.755765020994783,41.1766513961914,59.35540475901553,0.6534916536914352,0.7239149988404041,0.7954500724460675,5.0,13.0,29.0,0.002814932910984075,0.022872586373119952,0.045205654864139355,0.66973768644221,0.7692441711702988,0.854578582881339,0.9323098834131806,0.9728805754490621,0.9862258691187766,0.4088541666666667
G059,ANH_236,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-20,2022-04-08,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,50.0,100.0,304.6003918960651,307.7320469166497,313.1253266327243,3.0269667817765966,3.0416717706288496,3.052931282187813,0.40237576690591836,0.721959305658555,0.891575724756551,12.835503730373148,30.477761915403832,54.29222875154222,0.6051783806520246,0.7150929180001935,0.7877267833459551,6.0,12.0,25.0,0.000714768324159925,0.017083640349382,0.04268113072808907,0.6688316411666428,0.7766513364296193,0.8644984081670555,0.8897114659106389,0.9524334864772236,0.9758381413018656,0.4140625
G060,ANH_351,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-24,2022-04-12,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,16.667,83.333,301.1292015447073,303.91128722304006,310.875626422465,2.989224527293647,3.0217132462185905,3.039136122456875,-0.43322223122028825,0.12947810765887754,0.5865075236638432,3.4149874073528066,9.619843089332697,32.4547883850367,0.4147827434237933,0.5358711415394055,0.6595258437816831,1.0,5.0,9.0,6.555502820177312e-07,0.00494547132754175,0.017070966377263026,0.43571357694228485,0.5576969965244359,0.6995151107760127,0.9518989552338528,0.9741973290487203,0.9843668431048296,0.12565104166666666
G061,ANH_353,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-04-01,2022-04-20,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,33.333,100.0,303.6323221861102,307.60059519452034,315.7281024012625,3.0173384494237467,3.0342631643196087,3.046925513669734,0.36385874815622654,0.7496912029915593,0.8976978649766433,26.66456836215029,46.40070851493364,70.20126443847921,0.6782979177796267,0.7325665130349273,0.7807044288927769,9.0,18.0,37.0,0.004671451309658275,0.0246347055311836,0.08139203043151808,0.7074220966024268,0.7589803108150024,0.8104895817170725,0.9522836667336093,0.9797012370313102,0.9900936777925321,0.5250651041666666
