ACI,ADI,BI,H,Hf,Ht,NDSI,NP,SC,date,fname,sensor_name
300.8806453152062,3.0036630176164545,54.46650742527575,0.6177087247686622,0.6435246421199284,0.9598835605327837,0.8012039450990027,11.0,0.018257512387715162,2022-03-25 00:30:00,G089_20220325_003000.WAV,G089
301.46699145517823,3.0434676564065977,53.667716187874476,0.7066871713292082,0.714591092390057,0.9889392393145947,0.6949642891306848,11.0,0.01666758443706149,2022-03-25 01:00:00,G089_20220325_010000.WAV,G089
296.8100126215171,3.0410824951263438,46.032715293734036,0.7128457233259909,0.7233807390620364,0.985436416582358,0.7027197022139567,6.0,0.012031532842632094,2022-03-25 01:30:00,G089_20220325_013000.WAV,G089
301.12999582621,3.0390280303392903,51.10641183404669,0.6858823724067185,0.6970531095690632,0.9839743385274463,0.8173958032734312,10.0,0.022350768348633875,2022-03-25 02:00:00,G089_20220325_020000.WAV,G089
300.63197839306747,3.024911632492663,40.17349847441637,0.5976987269525048,0.6176986651573362,0.9676218529633099,0.9346738480905984,6.0,0.015206144341683296,2022-03-25 02:30:00,G089_20220325_023000.WAV,G089
304.00959038667486,3.0403228755192835,41.51379270866003,0.6854857558739869,0.6990303995680662,0.9806236700114206,0.7924048798592467,8.0,0.010736165485365058,2022-03-25 03:00:00,G089_20220325_030000.WAV,G089
301.37435310227795,0.0,46.396211849802036,0.5165886804342409,0.5801104862234003,0.8905005041320745,0.8127430594788625,8.0,0.014456194819055013,2022-03-25 03:30:00,G089_20220325_033000.WAV,G089
303.96291841793936,3.002239088021151,47.80686351335941,0.6162755509094212,0.6647713493196614,0.927048904168521,0.7166983399431337,11.0,0.01702857412569259,2022-03-25 04:00:00,G089_20220325_040000.WAV,G089
303.5134230883284,2.992225816179245,41.949152460734105,0.5945541780873559,0.6550211292231863,0.9076870219323453,0.7627445402673221,8.0,0.010288643159507619,2022-03-25 04:30:00,G089_20220325_043000.WAV,G089
304.28921476853554,3.010849538737773,45.01836368416434,0.5865387012042526,0.6412307830147365,0.9147076477624017,0.7132910641145309,8.0,0.011392589834425476,2022-03-25 05:00:00,G089_20220325_050000.WAV,G089
316.86955908654204,3.0382310800924293,34.97448550742031,0.7499609186714019,0.7856068843679427,0.9546262050322795,0.4399858631964756,17.0,0.0055905328050472125,2022-03-25 05:30:00,G089_20220325_053000.WAV,G089
302.4328250352985,3.026639648650435,40.72516367749435,0.5359681301218282,0.5405243889749095,0.9915706692500553,0.9639969084299322,8.0,0.03600194742137112,2022-03-25 06:00:00,G089_20220325_060000.WAV,G089
303.0659521856471,3.0229438319212023,37.87042890454042,0.5321429203240633,0.5377016541870376,0.9896620480526906,0.9810986836689352,8.0,0.03555180289438561,2022-03-25 06:30:00,G089_20220325_063000.WAV,G089
303.82241544498373,3.0303623391599848,34.4036456314753,0.5500438508986415,0.5554540090913556,0.9902599349286103,0.9713379833491046,3.0,0.028240232082281175,2022-03-25 07:00:00,G089_20220325_070000.WAV,G089
304.2737587289341,3.027507941540701,33.43441605901598,0.5289893778996744,0.5337203595981753,0.9911358418066293,0.9763272485968091,6.0,0.02906447730353813,2022-03-25 07:30:00,G089_20220325_073000.WAV,G089
301.9179990419648,0.0,29.84175032101494,0.48378690325061324,0.4879751056061992,0.9914171802875413,0.9931556289960641,4.0,0.03570301649277103,2022-03-25 08:00:00,G089_20220325_080000.WAV,G089
303.130549465162,0.0,42.17737051249363,0.5101155986881699,0.516521091458994,0.9875987779071502,0.9178236513325038,11.0,0.039733339626616036,2022-03-25 08:30:00,G089_20220325_083000.WAV,G089
302.207339446216,3.010787705415117,28.587846269217717,0.5049168622852616,0.5104828764300973,0.9890965703222802,0.9731538777248979,8.0,0.037360247605711855,2022-03-25 09:00:00,G089_20220325_090000.WAV,G089
301.0849225485831,0.0,28.491301029298203,0.47014846671867483,0.474992005525151,0.9898029045749493,0.9933979694928643,1.0,0.033677803154857584,2022-03-25 09:30:00,G089_20220325_093000.WAV,G089
302.15583556178956,3.0236026400531335,24.769989638039302,0.4543693898489673,0.4596549264072021,0.9885010771024514,0.9746240680296039,3.0,0.027462312414286802,2022-03-25 10:00:00,G089_20220325_100000.WAV,G089
308.9725906970907,3.0221524295205096,19.94078887207117,0.5632519361676908,0.5815061882359716,0.9686086710037325,0.8556743863094901,4.0,0.006549384350878482,2022-03-25 10:30:00,G089_20220325_103000.WAV,G089
306.4454938799785,3.0388627568893134,18.426918500392333,0.5449111324025759,0.5616259117068186,0.970238589502672,0.932337924223719,4.0,0.006892892698655772,2022-03-25 11:00:00,G089_20220325_110000.WAV,G089
314.09037031444996,2.9909478414204234,27.611663138487298,0.6431333775254813,0.6792490636371082,0.9468299802752147,0.875254675028967,19.0,0.006333489791333975,2022-03-25 11:30:00,G089_20220325_113000.WAV,G089
