fname,num_detections
G013_20211112_063000.WAV,10
G013_20211113_050000.WAV,8
G013_20211113_053000.WAV,6
G013_20211113_060000.WAV,4
G013_20211114_050000.WAV,12
G013_20211114_053000.WAV,12
G013_20211114_060000.WAV,12
G013_20211114_063000.WAV,9
G013_20211114_070000.WAV,4
G014_20211110_050000.WAV,12
G014_20211110_083000.WAV,1
G014_20211110_180000.WAV,5
G014_20211110_183000.WAV,1
G014_20211111_050000.WAV,12
G014_20211111_083000.WAV,8
G014_20211111_173000.WAV,1
G014_20211111_180000.WAV,1
G014_20211112_050000.WAV,12
G014_20211112_070000.WAV,2
G014_20211112_080000.WAV,4
G014_20211112_083000.WAV,11
G014_20211112_183000.WAV,1
G014_20211112_190000.WAV,2
G014_20211113_050000.WAV,12
G014_20211113_073000.WAV,1
G014_20211113_080000.WAV,5
G014_20211113_180000.WAV,2
G014_20211113_190000.WAV,1
G014_20211113_200000.WAV,1
G014_20211113_203000.WAV,7
G014_20211114_050000.WAV,12
G014_20211114_080000.WAV,8
G014_20211114_083000.WAV,11
G015_20211109_080000.WAV,11
G015_20211109_083000.WAV,8
G015_20211109_173000.WAV,1
G015_20211109_180000.WAV,7
G015_20211109_183000.WAV,6
G015_20211109_190000.WAV,8
G015_20211109_193000.WAV,10
G015_20211109_203000.WAV,1
G015_20211110_060000.WAV,9
G015_20211110_063000.WAV,11
G015_20211110_070000.WAV,11
G015_20211110_073000.WAV,4
G015_20211110_080000.WAV,11
G015_20211110_083000.WAV,12
G015_20211110_170000.WAV,2
G015_20211110_180000.WAV,3
G015_20211110_183000.WAV,2
G015_20211110_193000.WAV,5
G015_20211110_200000.WAV,2
G015_20211110_203000.WAV,11
G015_20211111_053000.WAV,2
G015_20211111_060000.WAV,12
G015_20211111_063000.WAV,12
G015_20211111_070000.WAV,5
G015_20211111_080000.WAV,11
G015_20211111_083000.WAV,11
G015_20211111_180000.WAV,11
G015_20211111_183000.WAV,11
G015_20211111_190000.WAV,1
G015_20211111_193000.WAV,10
G015_20211111_200000.WAV,9
G015_20211112_053000.WAV,1
G015_20211112_060000.WAV,3
G015_20211112_063000.WAV,12
G015_20211112_070000.WAV,10
G015_20211112_073000.WAV,7
G015_20211112_080000.WAV,10
G015_20211112_083000.WAV,10
G015_20211112_173000.WAV,10
G015_20211112_180000.WAV,12
G015_20211112_183000.WAV,6
G015_20211112_190000.WAV,10
G015_20211112_193000.WAV,10
G015_20211112_200000.WAV,4
G015_20211112_203000.WAV,12
G015_20211113_060000.WAV,12
G015_20211113_063000.WAV,12
G015_20211113_070000.WAV,9
G015_20211113_073000.WAV,12
G015_20211113_080000.WAV,8
G015_20211113_083000.WAV,11
G015_20211113_170000.WAV,5
G015_20211113_173000.WAV,3
G015_20211113_180000.WAV,10
G015_20211113_183000.WAV,1
G015_20211113_190000.WAV,1
G015_20211113_193000.WAV,12
G015_20211113_200000.WAV,2
G015_20211113_203000.WAV,1
G016_20211109_170000.WAV,6
G016_20211109_173000.WAV,8
G016_20211109_180000.WAV,2
G016_20211109_183000.WAV,4
G016_20211109_190000.WAV,1
G016_20211109_193000.WAV,2
G016_20211109_203000.WAV,8
G016_20211110_050000.WAV,9
G016_20211110_053000.WAV,10
G016_20211110_060000.WAV,12
G016_20211110_063000.WAV,12
G016_20211110_070000.WAV,11
G016_20211110_073000.WAV,12
G016_20211110_080000.WAV,12
G016_20211110_083000.WAV,10
G016_20211110_170000.WAV,12
G016_20211110_173000.WAV,11
G016_20211110_180000.WAV,9
G016_20211110_190000.WAV,1
G016_20211110_193000.WAV,4
G016_20211110_200000.WAV,2
G016_20211110_203000.WAV,5
G016_20211111_050000.WAV,10
G016_20211111_053000.WAV,12
G016_20211111_060000.WAV,11
G016_20211111_063000.WAV,10
G016_20211111_070000.WAV,10
G016_20211111_073000.WAV,10
G016_20211111_080000.WAV,6
G016_20211111_083000.WAV,10
G016_20211111_170000.WAV,8
G016_20211111_173000.WAV,11
G016_20211111_180000.WAV,9
G016_20211111_183000.WAV,5
G016_20211111_190000.WAV,5
G016_20211111_193000.WAV,6
G016_20211111_200000.WAV,6
G016_20211111_203000.WAV,3
G016_20211112_050000.WAV,6
G016_20211112_053000.WAV,12
G016_20211112_060000.WAV,12
G016_20211112_063000.WAV,12
G016_20211112_070000.WAV,7
G016_20211112_073000.WAV,10
G016_20211112_080000.WAV,11
G016_20211112_083000.WAV,8
G016_20211112_170000.WAV,11
G016_20211112_173000.WAV,12
G016_20211112_180000.WAV,8
G016_20211112_183000.WAV,4
G016_20211112_190000.WAV,10
G016_20211112_193000.WAV,4
G016_20211112_200000.WAV,8
G016_20211112_203000.WAV,2
G016_20211113_050000.WAV,12
G016_20211113_053000.WAV,12
G016_20211113_060000.WAV,12
G016_20211113_063000.WAV,6
G016_20211113_070000.WAV,7
G016_20211113_073000.WAV,5
G016_20211113_080000.WAV,12
G016_20211113_083000.WAV,12
G016_20211113_170000.WAV,8
G016_20211113_173000.WAV,12
G016_20211113_180000.WAV,12
G016_20211113_183000.WAV,6
G016_20211113_190000.WAV,6
G016_20211113_193000.WAV,1
G016_20211113_200000.WAV,4
G016_20211113_203000.WAV,7
G017_20211106_050000.WAV,8
G017_20211106_053000.WAV,12
G017_20211106_060000.WAV,11
G017_20211106_063000.WAV,12
G017_20211106_070000.WAV,12
G017_20211106_073000.WAV,12
G017_20211106_080000.WAV,9
G017_20211106_083000.WAV,12
G017_20211106_170000.WAV,12
G017_20211106_173000.WAV,12
G017_20211106_180000.WAV,12
G017_20211106_183000.WAV,12
G017_20211106_190000.WAV,9
G017_20211106_193000.WAV,12
G017_20211106_200000.WAV,9
G017_20211106_203000.WAV,12
G017_20211107_050000.WAV,12
G017_20211107_053000.WAV,12
G017_20211107_060000.WAV,12
G017_20211107_063000.WAV,12
G017_20211107_070000.WAV,12
G017_20211107_073000.WAV,12
G017_20211107_080000.WAV,12
G017_20211107_083000.WAV,12
G017_20211107_170000.WAV,12
G017_20211107_173000.WAV,12
G017_20211107_180000.WAV,10
G017_20211107_183000.WAV,12
G017_20211107_190000.WAV,7
G017_20211107_193000.WAV,1
G017_20211107_200000.WAV,11
G017_20211107_203000.WAV,12
G017_20211108_080000.WAV,5
G017_20211108_083000.WAV,11
G017_20211108_170000.WAV,12
G017_20211108_173000.WAV,12
G017_20211108_180000.WAV,12
G017_20211108_183000.WAV,11
G017_20211108_190000.WAV,10
G017_20211108_193000.WAV,9
G017_20211108_200000.WAV,11
G017_20211108_203000.WAV,7
G017_20211109_080000.WAV,8
G017_20211109_083000.WAV,12
G017_20211109_170000.WAV,12
G017_20211109_173000.WAV,12
G017_20211109_180000.WAV,12
G017_20211109_183000.WAV,12
G017_20211109_190000.WAV,10
G017_20211109_193000.WAV,10
G017_20211109_200000.WAV,7
G017_20211109_203000.WAV,11
G017_20211110_070000.WAV,1
G017_20211110_073000.WAV,3
G017_20211110_080000.WAV,11
G017_20211110_083000.WAV,11
G017_20211110_170000.WAV,9
G017_20211110_173000.WAV,11
G017_20211110_180000.WAV,12
G017_20211110_183000.WAV,12
