NMDS1,NMDS2,Cobertura,sensor_name,centroid_x,centroid_y,dist_centroid
-0.425232622786177,0.0866547682126984,Palma,G070,-0.3164385092819058,-0.030331252388656728,0.15975571398019206
-0.285385396603278,-0.210243150776457,Palma,G071,-0.3164385092819058,-0.030331252388656728,0.18257214187420195
-0.0537145179378139,0.326871093842229,Palma,G075,-0.3164385092819058,-0.030331252388656728,0.4434156196849859
-0.424675581553434,0.210185094715508,Palma,G076,-0.3164385092819058,-0.030331252388656728,0.26374870054323124
-0.523554197786664,0.103352593500694,Palma,G078,-0.3164385092819058,-0.030331252388656728,0.246512229060888
0.314437682770359,0.0321674286630869,Palma,G084,-0.3164385092819058,-0.030331252388656728,0.6339643955551238
-0.417632063034964,0.0682439918877075,Palma,G086,-0.3164385092819058,-0.030331252388656728,0.1412700042660081
-0.571392815848646,0.124020675970863,Palma,G088,-0.3164385092819058,-0.030331252388656728,0.2980372732146596
-0.608286718543881,-0.0601304449796612,Palma,G094,-0.3164385092819058,-0.030331252388656728,0.29336558954399794
-0.530443008307146,-0.0986262980505239,Herbazales,G002,-0.14816053122517375,-0.31384389296951953,0.4387009293888554
-0.331757607343774,-0.353990542883573,Herbazales,G013,-0.14816053122517375,-0.31384389296951953,0.18793520122271046
-0.461550410365803,-0.0310321711867427,Herbazales,G035,-0.14816053122517375,-0.31384389296951953,0.4221323090282441
-0.171761669299295,-0.134431276707877,Herbazales,G055,-0.14816053122517375,-0.31384389296951953,0.18095828412162052
0.127558437919925,-0.530191391045267,Herbazales,G063,-0.14816053122517375,-0.31384389296951953,0.3504671024077317
-0.697973376922421,0.0216783196519595,Herbazales,G067,-0.14816053122517375,-0.31384389296951953,0.6441035013537172
-0.499807226610629,-0.320080767255263,Herbazales,G079,-0.14816053122517375,-0.31384389296951953,0.3517020002450474
0.496556399567823,-0.491422754167879,Herbazales,G081,-0.14816053122517375,-0.31384389296951953,0.6687257829601367
0.472265059876824,-0.552699014717866,Herbazales,G092,-0.14816053122517375,-0.31384389296951953,0.6648155257510768
0.115308089232758,-0.647643033332163,Herbazales,G099,-0.14816053122517375,-0.31384389296951953,0.42525002066178136
-0.0461932985404623,0.122293306430737,Bosque Ripario,G003,0.256798480008351,0.08278477367199007,0.30555677382267615
1.45452627668672,-0.56979223006827,Bosque Ripario,G005,0.256798480008351,0.08278477367199007,1.3639679691058129
0.288397499757676,0.584332085716963,Bosque Ripario,G006,0.256798480008351,0.08278477367199007,0.5025417438070748
0.345015573246629,-0.599811769162625,Bosque Ripario,G010,0.256798480008351,0.08278477367199007,0.6882734164771872
0.670785710485952,-0.0641649376107305,Bosque Ripario,G011,0.256798480008351,0.08278477367199007,0.4392944851060496
0.465392417072588,-0.0512224157657808,Bosque Ripario,G016,0.256798480008351,0.08278477367199007,0.247930146212536
-0.629349018779407,0.231354642881223,Bosque Ripario,G020,0.256798480008351,0.08278477367199007,0.8985156624370263
0.0588881282311183,0.0178493928893073,Bosque Ripario,G022,0.256798480008351,0.08278477367199007,0.20829092879427083
0.917581945265627,0.139235958348169,Bosque Ripario,G023,0.256798480008351,0.08278477367199007,0.6631904132364684
0.635882245860007,-0.331202861277727,Bosque Ripario,G025,0.256798480008351,0.08278477367199007,0.5613290153052248
0.0752130391733609,0.61672103235086,Bosque Ripario,G027,0.256798480008351,0.08278477367199007,0.5639691486732468
-0.31289348218025,0.101839833567537,Bosque Ripario,G028,0.256798480008351,0.08278477367199007,0.5700105499812449
0.961135948654172,-0.130741688745809,Bosque Ripario,G030,0.256798480008351,0.08278477367199007,0.7359924047781082
0.0064144994818043,-0.0900314733973989,Bosque Ripario,G032,0.256798480008351,0.08278477367199007,0.30423279401712466
0.501404136580715,-0.0224229078689933,Bosque Ripario,G033,0.256798480008351,0.08278477367199007,0.2662716347687569
0.80733280138894,0.655354221008694,Bosque Ripario,G034,0.256798480008351,0.08278477367199007,0.7943071263947242
0.332019594953218,0.165721606861129,Bosque Ripario,G038,0.256798480008351,0.08278477367199007,0.11196755973491584
-0.671635306339397,-0.0990496325609917,Bosque Ripario,G042,0.256798480008351,0.08278477367199007,0.9460724321753156
-0.473779993323584,0.125877112507881,Bosque Ripario,G043,0.256798480008351,0.08278477367199007,0.7318482461291875
0.455836521050257,0.0520300559577255,Bosque Ripario,G045,0.256798480008351,0.08278477367199007,0.20140008551011981
0.20974086354307,0.721801201591907,Bosque Ripario,G046,0.256798480008351,0.08278477367199007,0.6407467630967196
-0.535560039244143,0.143515753660391,Bosque Ripario,G047,0.256798480008351,0.08278477367199007,0.7946824994690374
0.742834972468655,0.0434463520426011,Bosque Ripario,G052,0.256798480008351,0.08278477367199007,0.48762586418216863
0.110133224012609,0.172817809944447,Bosque Ripario,G054,0.256798480008351,0.08278477367199007,0.17209487190713754
-0.428608604199386,0.0965262672010302,Bosque Ripario,G057,0.256798480008351,0.08278477367199007,0.6855448196336695
-0.0974240726642406,0.59085855322489,Bosque Ripario,G058,0.256798480008351,0.08278477367199007,0.6193646601890163
-0.570131487820661,-0.0717072892989197,Bosque Ripario,G059,0.256798480008351,0.08278477367199007,0.8412377602168715
0.696672706528711,-0.244365064124775,Bosque Ripario,G062,0.256798480008351,0.08278477367199007,0.5481937171541961
0.591195060513015,0.325699025783572,Bosque Ripario,G064,0.256798480008351,0.08278477367199007,0.413313932661532
0.632049327187495,0.140385592611721,Bosque Ripario,G065,0.256798480008351,0.08278477367199007,0.37964595697991166
0.745459889091144,-0.14582921346337,Bosque Ripario,G066,0.256798480008351,0.08278477367199007,0.5394945114092519
-0.0599123630184289,0.220387125949553,Bosque Ripario,G069,0.256798480008351,0.08278477367199007,0.34531169317451754
0.237503502162488,0.0577196452864002,Bosque Ripario,G072,0.256798480008351,0.08278477367199007,0.03163157964848493
0.618083747397027,-0.281522385768556,Bosque Ripario,G074,0.256798480008351,0.08278477367199007,0.5130757749609179
0.966732500163034,-0.0455229933201212,Bosque Ripario,G077,0.256798480008351,0.08278477367199007,0.7214355106615503
0.743030561418874,0.583901009269493,Bosque Ripario,G080,0.256798480008351,0.08278477367199007,0.6982400150179174
-0.131482115683351,0.234004622113078,Bosque Ripario,G082,0.256798480008351,0.08278477367199007,0.41668844902786606
0.26526407559197,-0.0540951589740108,Bosque Ripario,G083,0.256798480008351,0.08278477367199007,0.13714146808955754
0.431472378032583,-0.607689586542766,Bosque Ripario,G085,0.256798480008351,0.08278477367199007,0.7122259562561284
-0.0237900982129709,0.0063488168887254,Bosque Ripario,G087,0.256798480008351,0.08278477367199007,0.2908133520277843
0.902865527628563,0.433119148730191,Bosque Ripario,G089,0.256798480008351,0.08278477367199007,0.7349400005225715
-0.171038536312978,-0.0157577454219412,Bosque Ripario,G090,0.256798480008351,0.08278477367199007,0.43903888279298786
0.0500369681865999,0.244981286368413,Bosque Ripario,G095,0.256798480008351,0.08278477367199007,0.2627889485912545
0.285724357217694,-0.124558838545584,Bosque Ripario,G096,0.256798480008351,0.08278477367199007,0.20935157009146535
-0.146213590464015,0.0584826468299892,Bosque Ripario,G097,0.256798480008351,0.08278477367199007,0.4037441297597626
0.374445925614482,0.290418309397547,Bosque Ripario,G098,0.256798480008351,0.08278477367199007,0.23864745256453854
-0.211531357471028,0.263350139087729,Bosque Ripario,G100,0.256798480008351,0.08278477367199007,0.5019329515594496
-0.456997542062911,-0.0021250184868367,Pastos,G007,-0.3448502568076523,-0.25576388838613756,0.2773259632885439
0.0045696965050792,-0.50110083980735,Pastos,G015,-0.3448502568076523,-0.25576388838613756,0.42694791661949333
-0.582122924865125,-0.264065806864226,Pastos,G019,-0.3448502568076523,-0.25576388838613756,0.23741786128581066
1.09799993964393,0.338315794255234,Bosque Denso,G017,0.4028502628457593,0.43824071475271503,0.702294854665068
-0.378254279447108,0.235376698896887,Bosque Denso,G091,0.4028502628457593,0.43824071475271503,0.8070180387820977
0.488805128340456,0.741029651106024,Bosque Denso,G093,0.4028502628457593,0.43824071475271503,0.31475288541994273
