sensor_name,ID_MUEST_PT,ALTURA,ESTACIONAL,FECHA_FIN,FECHA_INI,HORA_FIN,HORA_INI,MICROFONO,NUM_GRAB,REF_GRAB,RES_BITS,TASA_GRAB,TASA_MUEST,ANTROPOFON,BIOFONIA,GEOFONIA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,AEI_Q25,AEI_Q50,AEI_Q75,ASU,BIO_Q25,BIO_Q50,BIO_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75
G040,ANH_351,1.5,Húmedo,2021-11-28,2021-11-08,08:00:00,09:00:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,66.667,83.333,16.667,301.3256259010184,303.34763346300895,307.5614324014236,3.0439529573735884,3.05891209425378,3.0749775095864136,0.5963585518888166,0.7105338230598544,0.8085278941799339,0.3935546875,8.595586657370237,37.19832491220564,55.19411403276089,0.6167595442402916,0.7645282284785265,0.8440642887265808,0.9461664268583064,0.9722132657974268,0.9838215105133844,0.587518214831982,0.857785140279996,0.9617973249814977,4.0,10.0,40.0,0.0007700530646101,0.0317059079065482,0.06396029288238461
G041,ANH_222,1.5,Húmedo,2021-11-24,2021-11-04,14:00:00,15:00:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,100.0,0.0,302.36138587562175,308.9048203364533,324.0294405157306,3.024742366083868,3.044916360108037,3.05968000045685,0.6216856180215374,0.6740932160977633,0.7260338624844069,0.404296875,28.374855844214498,42.65416150118339,66.31526684500975,0.6632092913125378,0.7194250415087967,0.8028003630839473,0.9225327203541374,0.9674236243090764,0.9867099971071411,0.6864954039665623,0.8840036006939347,0.9459893858677102,11.0,21.0,40.0,0.0167851464543033,0.0356121135203312,0.0883659928483834
G042,ANH_101,1.5,Húmedo,2021-11-25,2021-11-04,10:30:00,19:30:00,Audiomoth v1.20,991.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,83.333,16.667,307.3400526398656,312.5757095871741,319.19346137620295,3.050984687132818,3.069212532816407,3.08334861544163,0.6926819005772543,0.760018802852198,0.8042853299209458,0.6087239583333334,20.984910404710845,42.83487686408184,59.106274333534415,0.7222366685779525,0.7991858531394592,0.8398713886728946,0.9407711377710212,0.9679077304478892,0.98334540300858,0.6744052995837067,0.8689836498925656,0.9603700998816949,6.5,14.0,25.0,0.00979086197869545,0.0346567582426707,0.0535479692363363
G043,ANH_62,1.5,Húmedo,2021-11-25,2021-11-05,11:30:00,12:30:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,0.0,100.0,20.0,304.2623529737335,309.8055776098964,320.4297116076472,3.0526674183309206,3.067085368878291,3.076422552415149,0.6369960734607905,0.7495926945595112,0.8128472253429622,0.568359375,26.73900229482655,46.28294015945182,79.50505326934498,0.659684277628892,0.7987725425044047,0.8499618751630788,0.9419279971141864,0.974597398075073,0.9863429776941757,0.8868605740093216,0.9710271547932045,0.9887575709546801,7.0,25.0,59.0,0.0097760028389697,0.0753402087446911,0.2670086891004714
G045,ANH_160,1.5,Húmedo,2021-12-01,2021-11-07,11:30:00,12:00:00,Audiomoth v1.20,1152.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,83.333,16.667,307.02263952839326,310.13698114027886,314.9050422697878,3.0458353400650795,3.064981966180044,3.082222226604373,0.6658053353232815,0.7352554284751333,0.7923524720960526,0.236328125,14.415732607845907,38.83388751894569,62.09515061870523,0.693327398902625,0.7715275551107104,0.8502176630786066,0.9430761208975083,0.9752438185433305,0.9855739347290093,0.23248155398161385,0.38561026983334523,0.5572983368384699,4.0,14.0,30.0,0.001153768496351175,0.01573539193603225,0.03181953662209795
G046,ANH_289,1.5,Húmedo,2021-11-25,2021-11-05,10:00:00,11:00:00,Audiomoth v1.20,959.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,83.333,100.0,16.667,308.4633452287284,314.3393948144884,322.5090026500676,3.0377374588031953,3.0516033645279985,3.0687323402373616,0.5864604906431197,0.6731309557115359,0.7273120258117977,0.3658854166666667,12.004835427326473,23.4307649246504,51.65874705146415,0.6591979343683942,0.7369887492260929,0.8155096494774579,0.8669282307292887,0.9189702877498674,0.9693671163000293,0.08358927801226465,0.4821800736330994,0.689394629863912,5.0,21.0,32.0,0.0010043030320510998,0.018720767920341,0.03280592127977395
G047,ANH_135,1.5,Húmedo,2021-12-01,2021-11-09,11:00:00,13:00:00,Audiomoth v1.20,1053.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,33.333,100.0,33.333,304.33822797224,308.7628468184231,316.28716708161744,3.057130475833174,3.072809703795873,3.0828856394532425,0.6763607137777705,0.762272110911595,0.8120682415144723,0.7262369791666666,24.238368961484564,47.99396230973235,82.42448280795885,0.7057952818503638,0.8000927702832256,0.8428723332464704,0.956532208109739,0.9752387528066,0.9855334344203768,0.8081548037161316,0.9317605869412944,0.9721674179051516,11.0,25.0,58.0,0.0114214340468342,0.0784571318189247,0.2243773801938156
G048,ANH_81,1.5,Húmedo,2021-11-29,2021-11-11,10:30:00,15:00:00,Audiomoth v1.20,856.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,66.667,83.333,16.667,302.30932874482914,308.6528334258819,317.64319314028603,3.033805897101804,3.0454824077563525,3.0569148636083456,0.5624339095073312,0.6116599410800185,0.6581965675991732,0.2600911458333333,18.982739959079485,44.74904990296633,72.31042116005172,0.5828783403825945,0.6281511843585362,0.6777706048895427,0.9555455360008884,0.9779413836482702,0.9869247767852429,0.5302672176773585,0.8897087197005953,0.9549410548104705,6.0,13.0,21.0,0.003517682813307125,0.0329291647327933,0.07316968176093035
G049,ANH_254,1.5,Húmedo,2021-12-01,2021-11-07,08:30:00,08:30:00,Audiomoth v1.20,1153.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,50.0,100.0,0.0,305.29594033963724,309.02956971246874,316.37093168922894,3.0496896846155885,3.0621352864524587,3.073116763100177,0.6043656870055983,0.6865937205297028,0.7865807266187611,0.4759114583333333,14.184341526630524,39.071313106358645,65.67740615268391,0.6426285285143338,0.7424749113183646,0.8498088256448467,0.9374689193332834,0.9670004151465686,0.979673309165004,0.5688905058974454,0.8162269321304059,0.9131445826754953,7.0,14.0,31.0,0.0029228801907563,0.0260611829448542,0.054595975620522
G050,ANH_89,1.5,Húmedo,2021-11-25,2021-11-05,11:00:00,13:00:00,Audiomoth v1.20,957.0,Audiomoth v1.20,16.0,60 segundos cada 1800 segundos,192000.0,16.667,100.0,0.0,311.5041245449252,320.0349477785635,330.356388461409,3.045685607188738,3.056785987391196,3.0711936842121195,0.5744697276789453,0.7040565479914233,0.8150353677217469,0.4593098958333333,22.184870579688603,46.48456177313322,79.03190202776486,0.61100577011474,0.7739882928981046,0.8501091647406797,0.93428444914425,0.9730292366142324,0.988034858085926,0.6987152204059994,0.9589915148252434,0.987519325562692,6.0,21.0,54.0,0.0100797411363046,0.0389396867518532,0.205869884631891
