sensor_name,ID_MUEST_PT,TASA_MUEST,RES_BITS,MICROFONO,REF_GRAB,FECHA_INI,FECHA_FIN,HORA_INI,HORA_FIN,NUM_GRAB,TASA_GRAB,ESTACIONAL,ALTURA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,BIO_Q25,BIO_Q50,BIO_Q75,AEI_Q25,AEI_Q50,AEI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,ASU,BIOFONIA,GEOFONIA,ANTROPOFONIA
G043,ANH_234,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-11,2022-06-30,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,302.7204850360451,306.06767411076794,311.4415209279797,3.05309914787005,3.0679885526030466,3.0795546607891406,0.7398241386438889,0.9399936743349859,0.9790459305354398,27.438527160479556,43.568250919658595,68.1954364421033,0.6358132373497704,0.7184944711987238,0.7756549066836725,7.0,18.0,49.0,0.0037871139792163997,0.030851507372318447,0.1054092075970411,0.6666751250716864,0.7515581123808728,0.8076476642186781,0.9473840927079954,0.9727513911780563,0.9820381172716957,0.4899088541666667,,,
G044,ANH_395,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-13,2022-07-02,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,302.23018653190024,306.40680260007804,313.2012879064119,3.0333239921452817,3.0476339861273654,3.061753138565041,0.46814822363341446,0.6674796813122792,0.8233279750924153,14.043494490570868,29.975911908224163,46.2340314167457,0.6611227698464217,0.7062366487238668,0.7591161844873067,3.0,9.0,18.0,0.000482047974043675,0.00505647784196335,0.024009310562138675,0.7023973198009308,0.7594925849837872,0.828391164105015,0.8913904599808393,0.9560627828778558,0.9830048969806585,0.21484375,,,
G045,ANH_254,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-11,2022-06-30,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.9994008486846,308.3268012732037,314.64024566107673,3.048513266205541,3.060440673765971,3.07146804137587,0.4576871710058275,0.7173608597918747,0.8899653313791578,10.562478475213226,33.8364795428192,62.984822502269694,0.5756621433249773,0.6760512676833523,0.7830531069417356,4.0,12.0,26.0,0.001306511712061275,0.027591237303083598,0.059124516968700476,0.6086777654647729,0.7172725586605964,0.8261664147416385,0.9318477019031017,0.9652448723546854,0.9809587559679283,0.4039713541666667,,,
G046,ANH_038,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-14,2022-07-03,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,301.3535077138431,306.38760867212375,313.9039230510287,3.042874876939034,3.0656906691721426,3.0799342530535956,-0.2952337581238801,0.45832701995817343,0.8802546169524658,9.784358071633953,17.22615667623482,43.118624283304946,0.6315700752697503,0.7363848063372571,0.8137004512475341,1.0,9.0,18.0,0.0,0.00383190991515425,0.04710653216523005,0.6793026118471759,0.7683979717669374,0.8419702558050772,0.9310943191722911,0.977149015570553,0.9897771158735648,0.5618489583333334,,,
G049,ANH_194,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-15,2022-07-04,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,311.70384828231056,318.1333506912563,327.2337075461501,3.040236957386211,3.0559070957000802,3.0676578366214016,0.3789211434912143,0.7204582702040283,0.8576313916552601,33.60162161891918,52.96096309848866,66.38911249980347,0.6733885736691471,0.7334282006740542,0.7860473782420281,16.0,27.0,39.0,0.020229844669545825,0.0596751792055954,0.10346659359466187,0.6936456412144657,0.7504324451950819,0.8103460974588681,0.9642341408968143,0.9841244374204189,0.9911970785663042,0.6910807291666666,,,
G050,ANH_241,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-12,2022-07-01,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.07192539236115,307.6287279522197,313.21851190387133,3.0444690833997816,3.0578129424673266,3.0693653328999666,0.44621856320494313,0.6570634653767601,0.8143768357711648,18.65749325191963,31.127473406928033,57.97320209545701,0.6848189614261392,0.7488772661833274,0.8097338770223094,2.0,10.0,16.0,0.000174157858255975,0.0055870365368764,0.0189674733431403,0.7213947885343477,0.7820585715726743,0.8620031811168689,0.9263740268902145,0.9714813245307079,0.9839234322776504,0.21354166666666666,,,
G051,ANH_370,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-12,2022-07-01,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,305.5388010855424,308.3543258589457,313.5955118014901,3.0317668333990566,3.0442042860517606,3.066330492118599,0.40720505570816024,0.5898542099696931,0.7633660877993562,14.62615777159403,27.74595153145023,41.39140188951282,0.7016284797303096,0.7555405520995641,0.7987409370327813,6.0,11.0,21.0,0.001012606668956625,0.006791937955224999,0.017004755798779202,0.7506390588334768,0.8012368386042045,0.8676456589974924,0.9014707884696606,0.9541702900579292,0.982092023624461,0.21451822916666666,,,
G053,ANH_145,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-14,2022-07-03,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,300.94851348008535,305.07633685174375,314.5844694176664,3.021848912307437,3.0346592763567135,3.0453178338672995,0.7615648543434868,0.9268750643023886,0.973103354973832,28.7635985569402,43.5117320337787,63.76545332479809,0.5697887680381764,0.6494928152033983,0.7234145410066428,7.0,16.5,30.0,0.0036424558836511247,0.022933334032586898,0.053945451223999755,0.5997400329321376,0.6832842264368516,0.790973070216616,0.9258633840944581,0.9729093319729101,0.9847775079754783,0.3723958333333333,,,
G054,ANH_388,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-17,2022-07-06,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,306.5554028370765,311.48360793805693,319.5161776714317,3.036718465526298,3.050754231671455,3.062612184834758,0.7841390501391631,0.9754834498179702,0.9922284874803968,28.086744798675465,47.09315197981171,61.604961112279085,0.6163822031804653,0.7103298851568189,0.7873895490191359,5.0,12.0,37.0,0.011647817410891024,0.04117598728057635,0.12398750258942359,0.6263545651830073,0.7420445095757412,0.8168875358746484,0.9578679288141447,0.9826460138447127,0.9914338591265341,0.4485677083333333,,,
G055,ANH_239,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-06-12,2022-07-01,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T4,1.5,304.11214723645435,306.91919882193656,312.5383863922622,3.036255058512057,3.051841527178981,3.066102523426115,0.5982523873129761,0.8876485213066734,0.9577619235841711,28.529804720357244,48.45962355111264,75.724935506326,0.6545994181464643,0.7142227285429096,0.7715768639132781,8.0,18.0,36.0,0.005009715255179425,0.03240996890943525,0.0981806731539922,0.6955404832838388,0.7463663637745764,0.8042955916237021,0.9365070407713082,0.9751782790727704,0.9853529821965687,0.4182942708333333,,,
