ADI,ACI,NDSI,BI,Hf,Ht,H,SC,NP,fname,sensor_name,date
3.0781507737017146,312.85042510902815,0.8483403528159414,100.98907018157573,0.8010172245881498,0.9769941113748816,0.7825891115324733,0.1718712988723661,69.0,G064_20220702_000000.WAV,G064,2022-07-02 00:00:00
3.0805196108715642,313.8150901998358,0.8169429491626076,92.32768181385954,0.7981121772639734,0.9782954531330701,0.7807895141074801,0.15519847003304849,67.0,G064_20220702_003000.WAV,G064,2022-07-02 00:30:00
3.0820221435162916,314.9296231104097,0.8204274094563612,96.06029171187258,0.7964760331245566,0.9840226931473471,0.7837504911425419,0.16411307980144696,66.0,G064_20220702_010000.WAV,G064,2022-07-02 01:00:00
3.075167458232044,315.0047703716982,0.8324271606457673,93.5554513570156,0.7524101748141994,0.978894557300225,0.7365302249829306,0.1537894739602317,61.0,G064_20220702_013000.WAV,G064,2022-07-02 01:30:00
3.0843757086424293,313.12511935263717,0.7119027404501238,95.7806644070996,0.7755149462079177,0.9886318098117145,0.7666987448055681,0.16214031048609492,60.0,G064_20220702_020000.WAV,G064,2022-07-02 02:00:00
3.0824260840020954,315.50381798876214,0.7919194577421417,94.23726697088605,0.7800552691139012,0.9832441640908921,0.7669847910245937,0.16488488100014248,57.0,G064_20220702_023000.WAV,G064,2022-07-02 02:30:00
3.08564326821306,312.4265352817597,0.7944585946309537,89.42914908273774,0.8264569050509895,0.9804435386394569,0.8102943325212058,0.17441920430180838,53.0,G064_20220702_030000.WAV,G064,2022-07-02 03:00:00
3.087375637700861,309.5852529275986,0.8056118090629962,90.773265172444,0.8526812647068046,0.9770716388825613,0.8331306807515326,0.17287210563624647,52.0,G064_20220702_033000.WAV,G064,2022-07-02 03:30:00
3.0852733029355015,309.4636537696818,0.7735099668110526,83.94845409046296,0.8250866350788667,0.9769716974254888,0.8060862903960853,0.1321073668992559,52.0,G064_20220702_040000.WAV,G064,2022-07-02 04:00:00
3.086230251306205,312.8457809394248,0.7916581300101052,79.35600069684416,0.8365444139585377,0.9716969883308314,0.8128676876484915,0.13753794543549078,42.0,G064_20220702_043000.WAV,G064,2022-07-02 04:30:00
3.080610863842001,306.13002640455545,0.9044376472006874,73.91648135539342,0.7997166606377046,0.9680566905592667,0.7741710638820445,0.17169211512861457,48.0,G064_20220702_050000.WAV,G064,2022-07-02 05:00:00
