"MDS1","MDS2","sensor_name","Cobertura","temporada","eventID"
0.465005201378616,-0.0564871830891443,"G037","Bosque Ripario","T2","ANH_228"
0.124851828632835,0.00289229037876441,"G038","Palma","T2","ANH_364"
0.172754492654207,0.396690536471125,"G039","Bosque Ripario","T2","ANH_099"
-0.209894789659036,0.0472912938082073,"G040","Bosque Ripario","T2","ANH_250"
-0.475668573813482,-0.409873387871022,"G041","Herbazales","T2","ANH_280"
0.397020325640806,0.118495946064559,"G042","Pastos","T2","ANH_272"
0.175911462977178,-0.294357958750856,"G044","Bosque Ripario","T2","ANH_395"
-0.417525691203851,0.152884050829963,"G045","Palma","T2","ANH_254"
-0.522185874253431,-0.122913240299811,"G046","Pastos","T2","ANH_038"
0.497717745661751,-0.484869435458941,"G047","Bosque Ripario","T2","ANH_375"
-0.275384253542678,0.124171402218835,"G048","Palma","T2","ANH_064"
-0.294216745351617,-0.117714664227682,"G049","Herbazales","T2","ANH_194"
0.457754066022227,-0.0403454289037877,"G050","Bosque Ripario","T2","ANH_241"
0.893165331925659,-0.299718652148942,"G051","Bosque Ripario","T2","ANH_370"
-0.0959052999895006,0.345352115387102,"G053","Palma","T2","ANH_145"
-0.286007188122155,0.292112389450177,"G054","Palma","T2","ANH_388"
0.331086702049772,-0.199656252245649,"G055","Bosque Ripario","T2","ANH_239"
0.63955412661261,0.162197557322767,"G056","Bosque Ripario","T2","ANH_389"
0.0537449074681403,-0.0878907295694138,"G057","Palma","T2","ANH_012"
0.592411630259175,0.00980040400361763,"G058","Bosque Ripario","T2","ANH_181"
0.0490156504487953,0.355310376289385,"G059","Palma","T2","ANH_236"
-0.170378029704312,-0.0418657397414792,"G061","Palma","T2","ANH_353"
-0.453906539673986,-0.0264651988846579,"G062","Palma","T2","ANH_209"
-0.288147017481197,0.0969480300142239,"G063","Bosque Ripario","T2","ANH_338"
0.47477352444993,-0.227918281872171,"G064","Bosque Ripario","T2","ANH_215"
-0.468614500734285,-0.0115479364278196,"G065","Palma","T2","ANH_210"
-0.239675560554452,0.0916708410299652,"G066","Bosque Ripario","T2","ANH_275"
-0.383242424077968,-0.00759537311186067,"G069","Palma","T2","ANH_225"
0.191556301562387,-0.205892828441824,"G070","Bosque Ripario","T2","ANH_160"
0.740969926210595,0.00370057074310179,"G071","Bosque Ripario","T2","ANH_183"
0.569055901313022,-0.784738453331808,"G072","Bosque Denso","T2","ANH_189"
-0.54643877226804,-0.0728301916238371,"G074","Palma","T2","ANH_213"
0.0249354674708765,0.0478559830105601,"G075","Bosque Ripario","T2","ANH_088"
0.372655170948489,-0.170996912278157,"G076","Bosque Ripario","T2","ANH_240"
-0.564219333285467,0.151234927598418,"G077","Herbazales","T2","ANH_166"
-0.303420584892744,0.272379140165885,"G078","Herbazales","T2","ANH_279"
-0.457260358544952,0.0757381262872828,"G079","Palma","T2","ANH_227"
-0.0365064845914091,-0.237948882448794,"G080","Bosque Ripario","T2","ANH_253"
-0.520341268830693,-0.0785657083163083,"G081","Palma","T2","ANH_212"
0.336498868296344,0.3929399172813,"G082","Herbazales","T2","ANH_283"
0.262288098572195,-0.428916191096743,"G083","Bosque Ripario","T2","ANH_336"
0.0220433893101331,-0.0752886993772317,"G084","Bosque Ripario","T2","ANH_101"
0.658833579080927,-0.0279718297312893,"G086","Bosque Ripario","T2","ANH_363"
0.843160897923364,-0.0127594506692268,"G087","Bosque Ripario","T2","ANH_233"
0.438737321501938,0.425656296278883,"G088","Palma","T2","ANH_095"
-0.160294946123311,0.273498281623349,"G089","Bosque Abierto","T2","ANH_197"
0.540224651362545,-0.150850270582513,"G090","Bosque Ripario","T2","ANH_231"
0.144469301469115,0.0770807860704739,"G091","Bosque Ripario","T2","ANH_317"
-0.288703106349372,0.0381772084768967,"G092","Bosque Ripario","T2","ANH_135"
-0.625229819594889,-0.0904407248036645,"G094","Palma","T2","ANH_226"
-0.118124835876045,-0.387018830933546,"G095","Palma","T2","ANH_109"
-0.416084515423483,0.0227685057535021,"G096","Palma","T2","ANH_256"
0.299426056604778,-0.246916663615977,"G097","Bosque Ripario","T2","ANH_290"
-0.0920434697024094,-0.0305960256312391,"G099","Palma","T2","ANH_229"
-0.642353198641989,0.392171172935454,"G100","Palma","T2","ANH_066"
