"group","indval","pvalue","freq","tf_bin"
"Herbazales",0.335246707514421,0.002,43,"X1461"
"Herbazales",0.335016318148588,0.012,78,"X305"
"Herbazales",0.334355167698989,0.003,44,"X1336"
"Herbazales",0.334284092803016,0.047,107,"X2424"
"Herbazales",0.333748706596817,0.004,44,"X1333"
"Herbazales",0.332720723903224,0.004,58,"X2231"
"Herbazales",0.332485925354904,0.026,82,"X1574"
"Herbazales",0.332289579505079,0.045,91,"X49"
"Herbazales",0.331458683028799,0.005,57,"X2101"
"Herbazales",0.329479737549445,0.007,48,"X1718"
"Herbazales",0.328751635924171,0.004,44,"X2203"
"Herbazales",0.32333324590545,0.037,93,"X50"
"Herbazales",0.320231723390452,0.005,43,"X1848"
"Herbazales",0.319716128600912,0.032,85,"X929"
"Herbazales",0.31930169518458,0.031,87,"X2360"
"Herbazales",0.317986526268689,0.016,67,"X561"
"Herbazales",0.31741788917832,0.032,82,"X1702"
"Herbazales",0.317404782392527,0.008,58,"X1846"
"Herbazales",0.317182907286328,0.01,62,"X2227"
"Herbazales",0.316673199862535,0.043,93,"X2867"
"Herbazales",0.315329758232383,0.003,41,"X1464"
"Herbazales",0.314169172631627,0.001,38,"X1334"
"Herbazales",0.314004735223342,0.008,50,"X690"
"Herbazales",0.313762278931072,0.028,77,"X668"
"Herbazales",0.312107417356337,0.003,45,"X1590"
"Herbazales",0.309386661606733,0.006,49,"X1462"
"Herbazales",0.309156843263657,0.002,36,"X1207"
"Herbazales",0.308852262425121,0.001,40,"X1076"
"Herbazales",0.308056420938143,0.031,81,"X306"
"Herbazales",0.304029241896237,0.001,44,"X1719"
"Herbazales",0.302645191082288,0.005,39,"X1078"
"Herbazales",0.302388040419886,0.001,42,"X949"
"Herbazales",0.301568877031263,0.024,67,"X433"
"Herbazales",0.300858491965699,0.042,82,"X2993"
"Herbazales",0.300095139271513,0.033,77,"X2609"
"Herbazales",0.299727004010392,0.028,71,"X1575"
"Herbazales",0.296308452924118,0.012,50,"X819"
"Herbazales",0.295940790315677,0.018,56,"X562"
"Herbazales",0.29491074508193,0.005,39,"X1592"
"Herbazales",0.293423982521919,0.009,45,"X1203"
"Herbazales",0.29334325263208,0.011,50,"X1847"
"Herbazales",0.292293677963591,0.015,53,"X1976"
"Herbazales",0.287476987109346,0.009,48,"X797"
"Herbazales",0.286897012533504,0.02,55,"X947"
"Herbazales",0.286248494360339,0.005,34,"X1079"
"Herbazales",0.285281857141335,0.002,43,"X1202"
"Herbazales",0.282573704307713,0.008,43,"X1721"
"Herbazales",0.282420789319661,0.003,35,"X1337"
"Herbazales",0.279887655334151,0.01,38,"X1593"
"Herbazales",0.276469280414512,0.019,47,"X1777"
"Herbazales",0.276291262597792,0.022,56,"X563"
"Herbazales",0.274675869221427,0.005,39,"X1332"
"Herbazales",0.270845692305725,0.036,64,"X796"
"Herbazales",0.270822848639744,0.019,55,"X933"
"Herbazales",0.268216405294763,0.013,45,"X693"
"Herbazales",0.26697666448157,0.022,48,"X688"
"Herbazales",0.266451804741452,0.02,51,"X1849"
"Herbazales",0.26623804889412,0.031,58,"X2479"
"Herbazales",0.26382863788378,0.031,54,"X1977"
"Herbazales",0.263478627265441,0.008,34,"X950"
"Herbazales",0.262658747204214,0.01,39,"X1386"
"Herbazales",0.262274300066085,0.041,57,"X1973"
"Herbazales",0.262224970316401,0.02,45,"X1204"
"Herbazales",0.254655303719405,0.022,53,"X2607"
"Herbazales",0.25405351521504,0.024,49,"X1075"
"Herbazales",0.253798660285769,0.008,39,"X1389"
"Herbazales",0.249089472267844,0.006,29,"X1080"
"Herbazales",0.248563424909554,0.031,55,"X945"
"Herbazales",0.245383458763248,0.018,34,"X2563"
"Herbazales",0.245320668727539,0.012,39,"X1519"
"Herbazales",0.244527355175733,0.005,36,"X1388"
"Herbazales",0.24102138777997,0.046,52,"X1845"
"Herbazales",0.240390739247897,0.026,45,"X1259"
"Herbazales",0.236954273634657,0.021,41,"X692"
"Herbazales",0.232684831669286,0.045,48,"X1716"
"Herbazales",0.232229759088521,0.04,47,"X1384"
"Herbazales",0.23158718091206,0.049,49,"X794"
"Herbazales",0.229591442751857,0.03,45,"X687"
"Herbazales",0.229203052789931,0.019,44,"X1717"
"Herbazales",0.228211710970385,0.033,41,"X1260"
"Herbazales",0.227240264849679,0.024,37,"X820"
"Herbazales",0.223987989344091,0.046,52,"X1128"
"Herbazales",0.220965277157891,0.029,37,"X1774"
"Herbazales",0.219669145022158,0.008,25,"X2958"
"Herbazales",0.218084631954409,0.024,40,"X1052"
"Herbazales",0.21471728408961,0.035,41,"X1589"
"Herbazales",0.211332604446394,0.023,35,"X1209"
"Herbazales",0.210514382606792,0.035,38,"X1159"
"Herbazales",0.204281736694013,0.043,35,"X2208"
"Herbazales",0.202742594490858,0.043,36,"X1594"
"Herbazales",0.198332442499168,0.025,34,"X1173"
"Herbazales",0.194956715822882,0.038,32,"X2442"
"Herbazales",0.19422172029712,0.04,38,"X1167"
"Herbazales",0.194179659122888,0.043,37,"X1180"
"Herbazales",0.192960146404355,0.024,26,"X2830"
"Herbazales",0.191719387218596,0.048,38,"X782"
"Herbazales",0.191357551962153,0.042,39,"X1264"
"Herbazales",0.190247017441171,0.007,17,"X1561"
"Herbazales",0.186401269344454,0.049,30,"X1629"
"Herbazales",0.182870569135277,0.04,35,"X1181"
"Herbazales",0.175770779699035,0.012,17,"X1433"
"Herbazales",0.174901234059018,0.045,31,"X2076"
"Herbazales",0.172730051135997,0.046,29,"X1466"
"Herbazales",0.164972978739006,0.029,24,"X1419"
"Herbazales",0.140101901078914,0.046,23,"X1306"
"Herbazales",0.139463708376699,0.049,19,"X1560"
"Herbazales",0.136327047307043,0.014,13,"X1559"
"Herbazales",0.133903642245709,0.043,18,"X1293"
"Palma",0.567848139216141,0.001,120,"X2635"
"Palma",0.567724661126969,0.001,119,"X69"
"Palma",0.56301396704279,0.001,113,"X220"
"Palma",0.56298351638288,0.001,115,"X2885"
"Palma",0.558299599943273,0.001,108,"X328"
"Palma",0.555484642222924,0.001,113,"X67"
"Palma",0.553265395329075,0.001,106,"X71"
"Palma",0.55265339452336,0.001,107,"X345"
"Palma",0.552300332253897,0.001,102,"X200"
"Palma",0.552242573444708,0.001,112,"X203"
"Palma",0.549523405616737,0.001,118,"X219"
"Palma",0.548873905962136,0.001,112,"X478"
"Palma",0.548297016073008,0.001,111,"X2888"
"Palma",0.54752642618821,0.001,117,"X449"
"Palma",0.545940496457679,0.001,115,"X2900"
"Palma",0.545787317296596,0.001,110,"X196"
"Palma",0.542536470753027,0.001,106,"X348"
"Palma",0.540746510219988,0.001,108,"X349"
"Palma",0.540615723808389,0.001,107,"X2886"
"Palma",0.537291427908658,0.001,119,"X63"
"Palma",0.537041680436378,0.001,116,"X2756"
"Palma",0.536725903346039,0.001,100,"X455"
"Palma",0.536532791283059,0.001,111,"X93"
