,ID_MUES_PT,NOMBRE,N_COBERT,Dis_Palma,MDS1,MDS2,sensor_name_x,Cobertura_x,temporada,eventID,sensor_name_y,decimalLat,decimalLon,Tipo,Dis_CP,Dis_Oleodu,Dis_Pozo,Dis_Pozact,Dis_Ferroc,Dis_Kale,Dis_Plater,DisBosque,Dis_CobNat,Dis_Cienag,Dis_MGSG,Dis_Dre345,UCSuelo,Cobertura_y,Tam_Parche,Plataf,Dis_PlatEf,Dis_ViaPri,Dia_ViaSec,Presión sonora 1,Presión sonora 2,Presión sonora 3,Presión sonora 4
24,ANH_66,G026,Palma,0.0,-0.587246484010211,-0.0186830524148175,G026,Palma,T1,ANH_66,G026,7.364777778,-73.81052778,PE,4877.325503,2064.38539,6058.08658,6058.08658,3232.881147,3749.572271,12764.78307,262.7309907,262.7309907,6464.908237,9867.250632,2627.363522,PVAa,Palma,556.0054155,Kale,3749.572271,4940.572512,2570.013011,49.1,37.4,34.7,32.3
25,ANH_58,G027,Bosque Ripario,223.033979779,0.142923754317014,-0.590824068040142,G027,Bosque Ripario,T1,ANH_58,G027,7.358,-73.71075,PE,2335.44251,72.83687924,2791.61844,9087.968329,1754.287592,14768.50763,20876.54287,0.0,0.0,10143.43131,11124.07098,2620.966398,LVCb2,Bosque Ripario,464.8329216,Caracterizacion,14768.50763,4637.140151,9095.663339,33.1,45.8,40.5,37.6
26,ANH_248,G028,Bosque Ripario,6.15161734768,-0.354498023447325,0.0609754175146982,G028,Bosque Ripario,T1,ANH_248,G028,7.260694445,-73.81363889,PE,2933.264609,412.604599,3007.047366,3126.316705,3147.534735,11527.40203,7211.960066,0.0,0.0,8753.880522,2743.647222,5717.9231,PVAa,Bosque Ripario,86.22164614,Platero,7211.960066,581.5662717,3844.457621,35.4,62.8,42.6,45.0
27,ANH_370,G030,Bosque Ripario,8.41303836719,0.944119320159533,0.342584219758562,G030,Bosque Ripario,T1,ANH_370,G030,7.285944445,-73.85475,PE,4741.287858,3841.652761,2495.914018,5385.644355,4780.984042,8227.757463,3097.171971,0.0,0.0,3991.70001,6006.780709,3293.62607,PVAa,Bosque Ripario,39.67404334,Platero,3097.171971,3848.743644,2128.72981,38.2,44.3,45.3,50.3
28,ANH_109,G031,Palma,0.0,-0.243135637494827,-0.475647159413413,G031,Palma,T1,ANH_109,G031,7.380638889,-73.88080556,PE,2384.832436,226.7312386,1602.972503,1602.972503,4503.190994,2072.544593,12045.87278,81.17272099,8.331295758,2022.838593,1923.507104,372.9284316,RVCa,Palma,632.8655735,Kale,2072.544593,1636.925556,4969.305018,62.1,65.3,66.0,55.7
29,ANH_182,G032,Bosque Ripario,0.525847327836,-0.0813854911533426,0.231334897111347,G032,Bosque Ripario,T1,ANH_182,G032,7.255944445,-73.86463889,PE,3474.551562,4666.296074,1311.884849,3237.560032,8181.102042,11554.7251,1581.827009,0.0,0.0,3597.739459,4193.588017,6691.347382,PVAa,Bosque Ripario,2.404120823,Platero,1581.827009,4167.378377,917.9411098,54.0,41.4,39.1,38.4
30,ANH_228,G033,Bosque Ripario,5.24075605797,0.485564045118242,0.145883988165798,G033,Bosque Ripario,T1,ANH_228,G033,7.370194445,-73.84625,PE,4252.179591,286.9743643,3099.649594,3099.649594,4575.373602,0.0,11472.83466,0.0,0.0,3519.346596,5885.810153,2303.154188,PVAa,Bosque Ripario,13.50174066,Kale,0.0,4693.333248,985.0469112,35.9,42.8,38.5,40.1
31,ANH_375,G034,Bosque Ripario,719.346580462,0.837433842615638,-0.519924081275899,G034,Bosque Ripario,T1,ANH_375,G034,7.323666667,-73.71661111,PE,2051.732825,246.3621384,3725.052867,5558.865615,1237.394623,14688.64585,18819.85821,0.0,0.0,12718.1269,7321.130107,3421.213221,LVBe3,Bosque Ripario,740.9173164,Caracterizacion,14688.64585,1046.469608,5520.438732,50.5,45.2,30.9,51.2
32,ANH_282,G035,Herbazales,105.649520371,-0.490253856126928,0.180105574174514,G035,Herbazales,T1,ANH_282,G035,7.435444445,-73.80936111,PE,3622.46017,576.1860037,5714.967664,6400.314884,7750.389409,7118.278606,19668.45362,63.31168658,0.0,1290.36998,8956.794575,2227.400196,RVCa,Herbazales,40.46798621,Kale,7118.278606,5787.569346,3194.491338,33.6,59.0,44.8,35.9
33,ANH_236,G036,Palma,0.0,0.184949157069689,0.468530853525555,G036,Palma,T1,ANH_236,G036,7.244333334,-73.86847222,PE,2840.806321,4632.267455,531.4794159,3139.765239,8551.206836,12854.51873,1574.719387,46.56013809,46.56013809,4091.996787,3368.22512,8027.610487,PVAa,Palma,63.70995608,Platero,1574.719387,3855.652304,2093.918197,35.1,34.9,43.4,44.2
34,ANH_227,G037,Palma,0.0586031061648,-0.799966044910267,-0.180366705154685,G037,Palma,T1,ANH_227,G037,7.250833334,-73.81491667,PE,2673.297798,699.8635992,2139.962692,2349.728541,3147.821725,12535.90497,7082.260821,852.9595939,852.9595939,8882.374431,1652.960298,5633.345392,PVAa,Palma,212.1996271,Platero,7082.260821,1055.629604,3183.332443,53.6,51.9,31.8,46.3
35,ANH_239,G038,Bosque Ripario,42.9919780983,0.325777029602072,0.137268146333554,G038,Bosque Ripario,T1,ANH_239,G038,7.357861111,-73.82833333,PE,3178.796046,162.2967488,5293.157669,5293.157669,3383.515174,1803.772097,11043.37009,0.0,0.0,5097.532821,8148.481074,2812.42613,PVCb2,Bosque Ripario,68.9071628,Kale,1803.772097,3527.546357,947.8106119,51.2,49.5,64.8,48.6
36,ANH_212,G039,Palma,0.0,-0.217549274824499,0.223298436892531,G039,Palma,T1,ANH_212,G039,7.390583334,-73.783,PE,3145.841937,4343.804775,6598.071766,7871.799735,2872.770844,6862.089858,16880.89917,209.6646385,209.6646385,2986.85423,12208.50531,288.9467884,PVFa,Palma,29.69773573,Kale,6862.089858,7273.089209,1893.689219,47.9,50.1,45.8,50.6
37,ANH_351,G040,Palma,0.0,-0.324424180544282,0.261955958530635,G040,Palma,T1,ANH_351,G040,7.288138889,-73.88508333,PE,2735.879221,6321.746779,3584.477311,3584.477311,4814.832121,8382.494301,1814.604647,291.5470452,291.5470452,996.4210768,2655.530283,4461.167771,PVAa,Palma,260.3420627,Platero,1814.604647,3922.56587,267.5978412,38.0,49.5,47.3,49.8
38,ANH_222,G041,Palma,0.0,-0.360990437496839,-0.480134576809479,G041,Palma,T1,ANH_222,G041,7.286388889,-73.80555556,PE,2851.611996,168.3160104,5544.849364,5588.795142,1942.354836,9232.890276,8260.920113,334.0729062,334.0729062,9322.275089,4990.248942,3482.293583,PVAa,Palma,137.6228642,Platero,8260.920113,682.3424026,5207.274159,56.9,34.0,44.1,48.2
39,ANH_101,G042,Bosque Ripario,1.72828956197,-0.570337448326745,-0.255671360221775,G042,Bosque Ripario,T1,ANH_101,G042,7.274133,-73.738422,PE,4305.817935,1154.203499,1330.003263,4405.139189,5272.641488,15097.2146,15515.94836,0.0,0.0,16614.03938,2847.772871,1187.623638,PVCb2,Bosque Ripario,111.615833,Caracterizacion,15097.2146,3996.10712,1825.774618,64.6,54.9,54.7,46.4
40,ANH_62,G043,Bosque Ripario,0.0,-0.488719545509077,-0.0244706079374505,G043,Bosque Ripario,T1,ANH_62,G043,7.288832003,-73.72220901,PE,2124.034522,1419.955167,1195.144852,2929.31419,4345.122217,15643.88025,17407.0655,0.0,0.0,15746.18697,3547.272515,103.495048,PVFa,Bosque Ripario,664.4649978,Caracterizacion,15643.88025,1580.086006,2406.606004,41.6,53.3,30.4,48.2
41,ANH_160,G045,Bosque Ripario,16.3835434181,0.414896706164301,0.214585188426807,G045,Bosque Ripario,T1,ANH_160,G045,7.263055556,-73.82136111,PE,3802.488694,475.1782255,3295.766732,3827.72845,3965.953489,11050.56914,6358.178581,0.0,0.0,7868.15105,3048.799696,6209.697773,PVAa,Bosque Ripario,86.22164614,Platero,6358.178581,1423.390085,3423.769949,48.0,37.6,39.6,40.5
42,ANH_289,G046,Bosque Ripario,60.9949166571,0.28775327782175,-0.644818704193062,G046,Bosque Ripario,T1,ANH_289,G046,7.309314725,-73.71706988,PE,2567.514325,1384.772381,2852.579827,4140.50131,2475.723133,15156.02162,18348.38477,0.0,0.0,14018.0491,5736.686865,2058.449486,PVBc2,Bosque Ripario,15.48677004,Caracterizacion,15156.02162,82.77171078,4011.578987,52.7,32.2,42.0,39.2
43,ANH_135,G047,Bosque Ripario,0.604676905354,-0.530267763447723,-0.1226429576919,G047,Bosque Ripario,T1,ANH_135,G047,7.239027778,-73.87933333,PE,3442.363203,5507.782064,1819.854838,2555.948309,9119.193745,13555.71941,1652.567331,0.0,0.0,3935.237704,3626.554746,8883.672283,PVAa,Bosque Ripario,17.5640809,Platero,1652.567331,4851.544421,3384.742152,40.4,45.8,48.9,52.1
44,ANH_81,G048,Palma,0.0,0.188730667996253,0.346462908297233,G048,Palma,T1,ANH_81,G048,7.402611111,-73.85347222,PE,4201.690669,18.02662231,471.6613352,471.6613352,8081.265822,2341.364136,14746.41449,80.72034542,7.396329118,5688.22187,4376.743287,2851.645813,PVAa,Palma,148.5096761,Kale,2341.364136,4128.021293,3568.697405,54.1,43.6,62.9,43.4
45,ANH_254,G049,Palma,0.0,-0.280912548933224,0.0342175468106245,G049,Palma,T1,ANH_254,G049,7.255666667,-73.84058333,PE,2830.545808,2141.03935,1468.027266,5023.881992,6027.836696,11576.56499,4238.493669,853.7267868,853.7267868,6019.072344,2944.618069,6503.787785,PVAa,Palma,311.7632351,Platero,4238.493669,2563.800377,1173.657236,46.2,38.9,38.6,47.5
46,ANH_89,G050,Palma,0.0,-0.326013746149958,-0.0635100772937459,G050,Palma,T1,ANH_89,G050,7.274891237,-73.75713241,PE,3868.984637,503.9275753,3296.740541,6336.603735,3228.562256,13498.45278,13452.00281,651.2610715,651.2610715,14795.34974,3358.835276,2001.104433,PVAa,Palma,834.954272,Caracterizacion,13452.00281,4685.730695,2573.637495,41.5,55.9,57.4,35.7
47,ANH_209,G051,Palma,0.0,-0.585573000245141,-0.0706460150299534,G051,Palma,T1,ANH_209,G051,7.373,-73.82802778,PE,4758.035197,1527.21928,4001.511455,4001.511455,5051.574151,1816.919428,12531.52829,370.2877684,370.2877684,5483.646147,7810.098525,3995.679155,PVAa,Palma,556.0054155,Kale,1816.919428,5170.658772,483.3336301,47.2,58.3,48.4,67.4
48,ANH_241,G052,Bosque Ripario,20.806620328,0.740475635161654,0.118744117729951,G052,Bosque Ripario,T1,ANH_241,G052,7.381805556,-73.81436111,PE,5668.47517,3016.110871,4731.187008,4731.187008,4585.084506,3325.465135,14108.02486,0.0,0.0,5024.476859,9128.804392,2640.881418,PVAa,Bosque Ripario,9.853489033,Kale,3325.465135,6522.396524,752.3772321,48.3,57.2,48.4,55.5
49,ANH_145,G053,Palma,0.0,-0.16124474739643,0.200895163748114,G053,Palma,T1,ANH_145,G053,7.238027878,-73.91163889,PE,5352.317521,8749.772703,2864.191824,2864.191824,10693.94502,14594.46732,2157.375327,1192.714812,13.73050433,4185.60904,455.3063802,10596.10272,RVBa,Palma,392.4461163,Platero,2157.375327,8376.632113,5471.585211,59.4,40.5,45.2,48.7
50,ANH_243,G054,Bosque Ripario,29.4157491414,0.0780235635867673,0.0595239395640531,G054,Bosque Ripario,T1,ANH_243,G054,7.379222222,-73.78475,PE,4416.62199,3978.707444,6084.75992,7919.722317,2276.315377,6594.610139,15794.14666,0.0,0.0,4247.329758,12378.39106,22.66894317,PVCb2,Bosque Ripario,191.1474957,Kale,6594.610139,6004.86311,2860.140515,50.9,35.4,44.2,37.1
51,ANH_279,G055,Herbazales,89.2011341347,-0.25275130423289,0.242494002860911,G055,Herbazales,T1,ANH_279,G055,7.269583334,-73.81569444,PE,3678.069815,173.5347693,3975.273005,4101.655784,3263.609859,10521.43137,6981.20922,433.8237772,0.0,8400.15814,3727.502749,5590.19406,PVAa,Herbazales,84.60542354,Platero,6981.20922,776.3066244,4323.77296,46.9,60.0,37.4,44.8
52,ANH_217,G056,Palma,0.0,-0.0137255450673345,0.132449748657053,G056,Palma,T1,ANH_217,G056,7.354972222,-73.72508333,PE,3427.843316,117.1090529,1179.354733,9133.972724,2311.242966,13196.87991,19320.53771,38.99333629,38.99333629,9411.760617,10840.51717,3404.124997,LVBd2,Palma,35.79010946,Caracterizacion,13196.87991,3581.856233,9106.015112,35.8,46.5,43.1,50.2
53,ANH_238,G057,Bosque Ripario,127.222562694,-0.419508859491925,-0.0566502430897912,G057,Bosque Ripario,T1,ANH_238,G057,7.348388889,-73.82058333,PE,2766.04367,6.157632951,6637.622337,6637.622337,2504.144813,2948.677922,10648.12371,0.0,0.0,5951.858561,9096.828353,2013.715375,PVCb2,Bosque Ripario,68.9071628,Kale,2948.677922,2837.394538,1960.574609,50.2,53.0,48.9,59.4
