fname,ALTVOZ,ANIDOM,AVEVOC,FLUAGU,HERPET,HERRAM,INDETE,INSECT,LLUVIA,MAMIFE,MURCIE,PULSOS,SENSAT,SONIND,SONVIE,TRAMOT,VOZHUM
G014_20220424_173000.WAV,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G015_20220330_193000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G015_20220404_060000.WAV,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
G015_20220406_200000.WAV,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
G015_20220422_053000.WAV,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
G015_20220425_063000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G015_20220425_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
G016_20220322_193000.WAV,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G016_20220327_060000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G016_20220329_200000.WAV,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G016_20220414_053000.WAV,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G016_20220417_063000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G016_20220417_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G017_20220319_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G017_20220324_060000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G017_20220326_200000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G017_20220411_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G017_20220414_063000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G017_20220414_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G018_20220320_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G018_20220325_060000.WAV,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G018_20220327_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G018_20220412_053000.WAV,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
G018_20220415_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
